Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jeff Mathis,35,69,218,195,15,39,9,1,1,20,0,0,20,66,0.2,0.272,0.272,0.544,44,53,7,0,1,2,1
2,1B,Paul Goldschmidt,30,158,690,593,95,172,35,5,33,83,7,4,90,173,0.29,0.389,0.533,0.922,139,316,7,6,0,0,11
3,2B,Ketel Marte#,24,153,580,520,68,135,26,12,14,59,6,1,54,79,0.26,0.332,0.437,0.768,100,227,12,3,1,2,3
4,SS,Nick Ahmed,28,153,564,516,61,121,33,5,16,70,5,4,40,109,0.234,0.29,0.411,0.7,81,212,15,2,1,5,2
5,3B,Jake Lamb*,27,56,238,207,34,46,8,0,6,31,1,2,26,65,0.222,0.307,0.348,0.655,72,72,4,1,0,4,0
6,LF,David Peralta*,30,146,614,560,75,164,25,5,30,87,4,0,48,124,0.293,0.352,0.516,0.868,124,289,14,4,0,2,4
7,CF,A.J. Pollock,30,113,460,413,61,106,21,5,21,65,13,2,31,100,0.257,0.316,0.484,0.8,106,200,6,8,1,7,2
8,RF,Steven Souza Jr.,29,72,272,241,21,53,15,3,5,29,6,1,28,75,0.22,0.309,0.369,0.678,77,89,4,3,0,0,0
9,IF,Daniel Descalso*,31,138,423,349,54,83,22,4,13,57,0,1,64,110,0.238,0.353,0.436,0.789,106,152,2,2,0,7,2
10,RF,Jon Jay*,33,84,320,289,46,68,10,5,2,22,1,1,14,56,0.235,0.304,0.325,0.629,66,94,7,15,1,1,0
11,RF,Chris Owings,26,106,309,281,34,58,15,0,4,22,11,4,24,75,0.206,0.272,0.302,0.574,51,85,4,2,0,2,4
12,CF,Jarrod Dyson*,33,67,237,206,29,39,4,2,2,12,16,3,27,34,0.189,0.282,0.257,0.539,43,53,3,0,3,1,2
13,C,Alex Avila*,31,80,234,194,13,32,6,0,7,20,0,0,37,90,0.165,0.299,0.304,0.603,59,59,4,1,0,2,2
14,3B,Eduardo Escobar#,29,54,223,198,30,53,11,0,8,21,1,1,18,35,0.268,0.327,0.444,0.772,100,88,5,2,0,5,2
15,C,John Ryan Murphy,27,87,223,208,19,42,9,0,9,24,0,0,11,71,0.202,0.244,0.375,0.619,59,78,1,1,2,1,1
16,3B,Deven Marrero,27,49,85,78,11,13,1,1,0,7,3,0,6,23,0.167,0.224,0.205,0.429,14,16,5,0,0,1,0
17,UT,Christian Walker,27,37,53,49,6,8,2,0,3,6,1,0,3,22,0.163,0.226,0.388,0.614,57,19,1,1,0,0,0
18,OF,Socrates Brito*,25,24,44,40,3,7,0,0,1,3,0,1,3,9,0.175,0.227,0.25,0.477,25,10,0,0,0,1,0
19,IF,Ildemaro Vargas#,26,14,20,19,2,4,0,0,1,4,1,0,1,4,0.211,0.25,0.368,0.618,60,7,1,0,0,0,0
20,LF,Patrick Kivlehan,28,9,14,13,3,3,0,2,0,0,0,0,0,6,0.231,0.286,0.538,0.824,110,7,0,1,0,0,0
21,RF,Kristopher Negron,32,2,3,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667,76,1,0,0,0,0,0
