Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Kurt Suzuki,34,105,388,347,45,94,24,0,12,50,0,0,22,43,0.271,0.332,0.444,0.776,108,154,6,13,0,6,0
2,1B,Freddie Freeman*,28,162,707,618,94,191,44,4,23,98,10,3,76,132,0.309,0.388,0.505,0.892,140,312,11,7,0,6,12
3,2B,Ozzie Albies#,21,158,684,639,105,167,40,5,24,72,14,3,36,116,0.261,0.305,0.452,0.757,102,289,9,5,1,3,0
4,SS,Dansby Swanson,24,136,533,478,51,114,25,4,14,59,10,4,44,122,0.238,0.304,0.395,0.699,88,189,5,2,6,3,15
5,3B,Johan Camargo#,24,134,524,464,63,126,27,1,19,76,1,1,51,108,0.272,0.349,0.457,0.806,116,212,13,6,0,3,4
6,LF,Ronald Acuna,20,111,487,433,78,127,26,4,26,64,16,5,45,123,0.293,0.366,0.552,0.917,144,239,4,6,0,3,2
7,CF,Ender Inciarte*,27,156,660,597,83,158,27,6,10,61,28,14,49,86,0.265,0.325,0.38,0.705,90,227,6,6,4,4,1
8,RF,Nick Markakis*,34,162,705,623,78,185,43,2,14,93,1,1,72,80,0.297,0.366,0.44,0.806,117,274,18,1,0,9,10
9,UT,Charlie Culberson,29,113,322,296,47,80,18,2,12,45,4,2,21,85,0.27,0.326,0.466,0.792,112,138,5,4,0,1,5
10,C,Tyler Flowers,32,82,296,251,34,57,9,0,8,30,0,0,35,76,0.227,0.341,0.359,0.7,90,90,6,9,0,1,0
11,3B,Ryan Flaherty*,31,81,182,161,17,35,6,0,2,13,4,2,18,41,0.217,0.298,0.292,0.59,61,47,5,1,1,1,4
12,LF,Preston Tucker*,27,80,157,129,15,31,10,0,4,22,0,0,9,34,0.24,0.303,0.411,0.714,91,53,2,3,0,1,0
13,LF,Adam Duvall,29,33,57,53,8,7,1,0,0,0,0,0,3,17,0.132,0.193,0.151,0.344,-5,8,1,1,0,0,0
14,OF,Peter Bourjos,31,36,47,44,5,9,2,1,1,4,0,0,2,15,0.205,0.239,0.364,0.603,60,16,0,0,1,0,0
15,UT,Jose Bautista,37,12,40,35,3,5,1,0,2,5,0,0,5,12,0.143,0.25,0.343,0.593,59,12,0,0,0,0,0
16,OF,Danny Santana#,27,15,32,28,4,5,3,0,0,2,1,1,3,11,0.179,0.281,0.286,0.567,55,8,0,1,0,0,0
17,OF,Lane Adams,28,26,29,25,10,6,1,0,2,6,1,0,4,8,0.24,0.345,0.52,0.865,130,13,1,0,0,0,0
18,1B,Lucas Duda*,32,20,22,18,1,4,2,0,1,2,0,0,4,7,0.222,0.364,0.5,0.864,131,9,1,0,0,0,0
19,C,Carlos Perez,27,8,22,21,0,3,0,0,0,0,0,0,1,6,0.143,0.182,0.143,0.325,-10,3,1,0,0,0,0
20,C,Chris Stewart,36,5,16,14,3,3,0,0,0,3,0,0,1,1,0.214,0.25,0.214,0.464,28,3,2,0,0,1,0
21,3B,Rio Ruiz*,24,14,15,12,1,1,0,0,0,0,0,0,2,5,0.083,0.267,0.083,0.35,2,1,0,1,0,0,0
22,LF,Michael Reed,25,7,7,7,1,2,0,0,0,0,0,0,0,3,0.286,0.286,0.286,0.571,56,2,0,0,0,0,0
23,C,Rene Rivera,34,3,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
24,,Dustin Peterson,23,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
25,P,Mike Foltynewicz,26,30,66,58,3,3,1,0,0,4,0,0,0,41,0.052,0.052,0.069,0.121,-68,4,0,0,8,0,0
26,P,Julio Teheran,27,28,54,40,2,7,0,0,1,4,0,0,1,8,0.175,0.19,0.25,0.44,18,10,0,0,12,1,0
27,P,Sean Newcomb*,25,28,53,45,3,2,1,0,0,1,0,0,1,32,0.044,0.065,0.067,0.132,-64,3,0,0,7,0,0
28,P,Anibal Sanchez,34,23,44,41,0,1,0,0,0,0,0,0,1,25,0.024,0.048,0.024,0.072,-80,1,2,0,2,0,0
29,P,Brandon McCarthy,34,15,31,29,1,3,2,0,0,2,0,0,0,19,0.103,0.103,0.172,0.276,-27,5,0,0,2,0,0
30,P,Kevin Gausman*,27,11,23,19,0,1,0,0,0,0,0,0,4,9,0.053,0.217,0.053,0.27,-21,1,0,0,0,0,0
31,P,Touki Toussaint,22,8,10,10,1,1,0,0,0,0,0,0,0,5,0.1,0.1,0.1,0.2,-45,1,0,0,0,0,0
32,P,Matt Wisler,25,6,9,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,1,0,0
33,P,Mike Soroka,20,4,8,8,0,1,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25,-32,1,0,0,0,0,0
34,P,Max Fried*,24,14,8,8,1,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,-32,1,0,0,0,0,0
35,P,Shane Carle,26,51,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,1,0,0
36,P,Kolby Allard*,20,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,446,1,0,0,2,0,0
37,P,Luke Jackson,26,33,3,1,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,53,0,1,0,1,0,0
38,P,Bryse Wilson,20,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
39,P,Luiz Gohara*,21,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
40,P,Jesse Biddle*,26,56,2,2,0,1,1,0,0,1,0,0,0,0,0.5,0.5,1,1.5,293,2,0,0,0,0,0
41,P,Wes Parsons,25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
42,P,Sam Freeman,31,59,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
43,P,Dan Winkler,28,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
44,P,Lucas Sims,24,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
45,P,Chad Sobotka,24,14,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,446,1,0,0,0,0,0
46,P,Jonny Venters*,33,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Miguel Socolovich,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Adam McCreery*,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Rex Brothers*,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Jose Ramirez,28,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Brad Brach,32,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,A.J. Minter*,24,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Kyle Wright,22,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Arodys Vizcaino,27,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
55,P,Evan Phillips,23,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
56,P,Peter Moylan,39,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
57,P,Chase Whitley,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
58,P,Josh Ravin,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
