Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Caleb Joseph,32,82,280,265,28,58,14,2,3,17,2,1,10,68,0.219,0.254,0.321,0.575,60,85,3,3,1,1,0
2,1B,Chris Davis*,32,128,522,470,40,79,12,0,16,49,2,0,41,192,0.168,0.243,0.296,0.539,50,139,5,7,0,4,2
3,2B,Jonathan Schoop,26,85,367,349,45,85,18,1,17,40,0,1,12,74,0.244,0.273,0.447,0.72,96,156,8,3,1,2,1
4,SS,Manny Machado,25,96,413,365,48,115,21,1,24,65,8,1,45,51,0.315,0.387,0.575,0.963,164,210,14,0,0,3,12
5,3B,Renato Nunez,24,60,220,200,26,55,13,0,7,20,0,0,16,50,0.275,0.336,0.445,0.781,116,89,4,3,0,1,0
6,LF,Trey Mancini,26,156,636,582,69,141,23,3,24,58,0,1,44,153,0.242,0.299,0.416,0.715,97,242,17,5,0,5,1
7,CF,Adam Jones,32,145,613,580,54,163,35,0,15,63,7,1,24,93,0.281,0.313,0.419,0.732,102,243,21,5,0,4,1
8,RF,Joey Rickard,27,79,230,213,27,52,10,1,8,23,4,2,15,55,0.244,0.3,0.413,0.713,97,88,3,2,0,0,0
9,DH,Mark Trumbo,32,90,358,330,41,86,12,0,17,44,0,0,24,87,0.261,0.313,0.452,0.764,110,149,10,2,0,2,0
10,IF,Tim Beckham,28,96,402,369,45,85,17,0,12,35,1,2,27,100,0.23,0.287,0.374,0.661,83,138,10,3,1,2,0
11,UT,Danny Valencia,33,78,282,255,28,67,8,1,9,28,1,1,22,53,0.263,0.316,0.408,0.723,100,104,8,0,0,5,2
12,MI,Jonathan Villar#,27,54,236,209,28,54,4,0,8,24,21,3,22,58,0.258,0.336,0.392,0.729,103,82,4,3,1,1,0
13,UT,Jace Peterson*,28,93,235,200,21,39,13,2,3,28,13,2,30,55,0.195,0.308,0.325,0.633,78,65,8,3,1,1,0
14,CF,Cedric Mullins#,23,45,191,170,23,40,9,0,4,11,2,3,17,37,0.235,0.312,0.359,0.671,87,61,1,2,2,0,0
15,C,Chance Sisco*,23,63,184,160,13,29,8,0,2,16,1,0,13,66,0.181,0.288,0.269,0.557,58,43,2,11,0,0,0
16,OF,Craig Gentry,34,68,169,156,13,42,5,2,1,11,12,3,11,31,0.269,0.321,0.346,0.668,87,54,2,1,1,0,0
17,DH,Pedro Alvarez*,31,45,127,111,18,20,2,0,8,18,0,0,16,36,0.18,0.283,0.414,0.698,92,46,2,0,0,0,0
18,C,Austin Wynns,27,42,118,110,16,28,2,0,4,11,0,0,5,25,0.255,0.287,0.382,0.669,85,42,7,0,3,0,0
19,RF,Anthony Santander#,23,33,108,101,8,20,5,1,1,6,1,0,6,21,0.198,0.25,0.297,0.547,52,30,1,1,0,0,0
20,UT,John Andreoli,28,23,61,56,4,13,2,0,0,4,2,0,4,17,0.232,0.279,0.268,0.547,54,15,1,0,0,1,0
21,UT,Colby Rasmus*,31,18,49,45,5,6,1,0,1,1,0,0,3,19,0.133,0.204,0.222,0.426,19,10,0,1,0,0,0
22,IF,Steve Wilkerson#,26,16,49,46,2,8,3,0,0,3,1,0,3,16,0.174,0.224,0.239,0.464,30,11,0,0,0,0,0
23,UT,DJ Stewart*,24,17,47,40,8,10,3,0,3,10,2,1,4,12,0.25,0.34,0.55,0.89,143,22,0,2,0,1,0
24,MI,Breyvic Valera#,26,12,41,35,4,10,0,1,0,4,1,0,3,9,0.286,0.325,0.343,0.668,87,12,0,0,1,2,0
25,C,Andrew Susac,28,9,26,26,1,3,1,0,0,0,0,0,0,12,0.115,0.115,0.154,0.269,-26,4,0,0,0,0,0
26,2B,Luis Sardinas#,25,8,20,18,2,2,0,0,1,1,0,0,2,5,0.111,0.2,0.278,0.478,32,5,1,0,0,0,0
27,UT,Corban Joseph*,29,14,19,18,1,4,1,0,0,3,0,0,1,5,0.222,0.263,0.278,0.541,52,5,0,0,0,0,0
28,MI,Engelb Vielma#,24,6,8,7,1,1,0,0,0,0,0,0,1,4,0.143,0.25,0.143,0.393,15,1,0,0,0,0,0
29,P,Alex Cobb,30,3,7,6,0,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-6,1,0,0,1,0,0
30,P,Dylan Bundy#,25,2,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,13,1,0,0,0,0,0
31,P,David Hess,24,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,6,0,0,0,0,0,0
32,P,Andrew Cashner,31,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
33,P,Yefry Ramirez,24,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,P,Kevin Gausman*,27,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
35,P,Mike Wright Jr.,28,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
36,P,Zack Britton*,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Jhan Marinez,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Ryan Meisinger,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Richard Bleier*,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Sean Gilmartin*,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Tanner Scott,23,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Pedro Araujo,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Nestor Cortes Jr.,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Jimmy Yacabonis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Cody Carroll,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Paul Fry*,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,John Means*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Donnie Hart*,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Josh Rogers*,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Mychal Givens,28,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Brad Brach,32,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Chris Tillman,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Evan Phillips,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Miguel Castro,23,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
55,P,Luis Ortiz,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
56,P,Darren O'Day,35,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
