Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Willson Contreras,26,138,544,474,50,118,27,5,10,54,4,1,53,121,0.249,0.339,0.39,0.73,92,185,14,13,2,2,2
2,1B,Anthony Rizzo*,28,153,665,566,74,160,29,1,25,101,6,4,70,80,0.283,0.376,0.47,0.846,121,266,11,20,0,9,15
3,2B,Javier Baez,25,160,645,606,101,176,40,9,34,111,21,9,29,167,0.29,0.326,0.554,0.881,126,336,10,5,1,4,8
4,SS,Addison Russell,24,130,465,420,52,105,21,1,5,38,4,0,40,99,0.25,0.317,0.34,0.657,74,143,7,2,1,2,2
5,3B,Kris Bryant,26,102,457,389,59,106,28,3,13,52,2,4,48,107,0.272,0.374,0.46,0.834,118,179,5,17,0,3,6
6,LF,Kyle Schwarber*,25,137,510,428,64,102,14,3,26,61,4,3,78,140,0.238,0.356,0.467,0.823,115,200,6,1,1,2,20
7,CF,Albert Almora,24,152,479,444,62,127,24,1,5,41,1,3,24,83,0.286,0.323,0.378,0.701,84,168,12,3,2,6,1
8,RF,Jason Heyward*,28,127,489,440,67,119,23,4,8,57,1,1,42,60,0.27,0.335,0.395,0.731,92,174,7,2,2,2,1
9,UT,Ben Zobrist#,37,139,520,455,67,139,28,3,9,58,3,4,55,60,0.305,0.378,0.44,0.817,115,200,8,2,1,7,1
10,OF,Ian Happ#,23,142,462,387,56,90,19,2,15,44,8,4,70,167,0.233,0.353,0.408,0.761,100,158,6,3,0,2,9
11,3B,David Bote,25,74,210,184,23,44,9,2,6,33,3,4,19,60,0.239,0.319,0.408,0.727,90,75,3,4,0,3,1
12,C,Victor Caratini#,24,76,200,181,21,42,7,0,2,21,0,0,12,42,0.232,0.293,0.304,0.597,58,55,5,4,2,1,0
13,IF,Tommy La Stella*,29,123,192,169,23,45,8,0,1,19,0,1,17,27,0.266,0.34,0.331,0.672,78,56,5,2,0,0,1
14,2B,Daniel Murphy*,33,35,146,138,23,41,6,0,6,13,2,0,7,23,0.297,0.329,0.471,0.8,107,65,1,0,0,1,0
15,C,Chris Gimenez,35,12,32,28,1,4,0,0,0,1,1,0,3,7,0.143,0.219,0.143,0.362,-2,4,1,0,0,1,0
16,1B,Efren Navarro*,32,4,6,6,0,1,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,-12,1,0,0,0,0,0
17,UT,Taylor Davis,28,5,6,5,0,2,0,0,0,2,0,0,0,1,0.4,0.333,0.4,0.733,92,2,0,0,0,1,0
18,RF,Mark Zagunis,25,5,6,5,0,2,1,0,0,1,0,0,1,1,0.4,0.5,0.6,1.1,188,3,0,0,0,0,0
19,UT,Terrance Gore,27,14,5,5,5,1,0,0,0,0,6,0,0,1,0.2,0.2,0.2,0.4,6,1,0,0,0,0,0
20,2B,Mike Freeman*,30,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
21,P,Kyle Hendricks,28,31,66,60,1,4,1,0,0,1,0,0,2,31,0.067,0.097,0.083,0.18,-52,5,0,0,4,0,0
22,P,Jon Lester*,34,31,65,59,4,7,0,0,1,9,0,0,0,22,0.119,0.119,0.169,0.288,-25,10,1,0,6,0,0
23,P,Jose Quintana,29,30,58,52,0,4,0,0,0,0,0,0,0,26,0.077,0.077,0.077,0.154,-59,4,3,0,6,0,0
24,P,Mike Montgomery*,28,37,35,33,1,3,0,0,0,1,0,0,1,20,0.091,0.118,0.091,0.209,-44,3,0,0,1,0,0
25,P,Tyler Chatwood,28,23,32,25,3,4,0,0,0,2,0,0,1,6,0.16,0.192,0.16,0.352,-6,4,0,0,6,0,0
26,P,Cole Hamels*,34,11,25,23,1,3,0,0,1,1,0,0,1,12,0.13,0.167,0.261,0.428,10,6,0,0,1,0,0
27,P,Yu Darvish,31,8,14,12,0,1,1,0,0,0,0,0,0,7,0.083,0.083,0.167,0.25,-36,2,0,0,2,0,0
28,P,Steve Cishek,32,76,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-12,1,0,0,0,0,0
29,P,Luke Farrell*,27,19,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,1,0,0
30,P,Alec Mills,26,7,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,6,1,0,0,0,0,0
31,P,Eddie Butler,27,8,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,-1,0,0,0,0,0,0
32,P,James Norwood,24,10,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,1,0,0,0,0
33,P,Randy Rosario*,24,43,2,1,1,1,0,0,0,1,0,0,1,0,1,1,1,2,430,1,0,0,0,0,0
34,P,Justin Hancock,27,10,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
35,P,Pedro Strop,33,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0
36,P,Brian Duensing*,35,47,2,1,1,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,49,0,0,0,0,0,0
37,P,Brandon Morrow,33,35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
38,P,Duane Underwood Jr.,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
39,P,Brandon Kintzler,33,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
