Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Tucker Barnhart#,27,138,522,460,50,114,21,3,10,46,0,4,54,96,0.248,0.328,0.372,0.699,87,171,13,2,3,3,2
2,1B,Joey Votto*,34,145,623,503,67,143,28,2,12,67,2,0,108,101,0.284,0.417,0.419,0.837,125,211,15,9,0,3,6
3,2B,Scooter Gennett*,28,154,638,584,86,181,30,3,23,92,4,2,42,125,0.31,0.357,0.49,0.847,124,286,14,4,3,5,3
4,SS,Jose Peraza,24,157,683,632,85,182,31,4,14,58,23,6,29,75,0.288,0.326,0.416,0.742,97,263,12,9,8,5,4
5,3B,Eugenio Suarez,26,143,606,527,79,149,22,2,34,104,1,1,64,142,0.283,0.366,0.526,0.892,135,277,20,9,0,6,7
6,LF,Adam Duvall,29,105,370,331,40,68,19,0,15,61,2,2,34,100,0.205,0.286,0.399,0.685,81,132,8,4,0,1,3
7,CF,Billy Hamilton#,27,153,556,504,74,119,16,9,4,29,34,10,46,132,0.236,0.299,0.327,0.626,68,165,1,1,1,4,0
8,RF,Scott Schebler*,27,107,430,380,55,97,19,0,17,49,4,2,39,99,0.255,0.337,0.439,0.777,106,167,5,9,0,2,1
9,OF,Jesse Winker*,24,89,334,281,38,84,16,0,7,43,0,0,49,46,0.299,0.405,0.431,0.836,124,121,6,2,1,1,4
10,OF,Phil Ervin,25,78,247,218,27,55,10,1,7,31,6,1,20,60,0.252,0.324,0.404,0.728,93,88,5,5,0,4,1
11,C,Curt Casali,29,52,156,140,15,41,10,0,4,16,0,2,12,32,0.293,0.355,0.45,0.805,114,63,5,2,1,1,1
12,IF,Alex Blandino,25,69,147,128,14,30,4,0,1,8,0,0,13,41,0.234,0.324,0.289,0.613,66,37,4,4,2,0,1
13,RF,Mason Williams*,26,51,132,123,10,36,5,1,2,6,1,2,7,29,0.293,0.331,0.398,0.729,94,49,5,0,2,0,1
14,UT,Brandon Dixon,26,74,124,118,14,21,6,0,5,10,0,0,6,43,0.178,0.218,0.356,0.574,50,42,2,0,0,0,0
15,UT,Dilson Herrera,24,53,97,87,11,16,5,0,5,11,0,0,8,39,0.184,0.268,0.414,0.682,79,36,0,2,0,0,0
16,C,Devin Mesoraco,30,18,45,41,1,9,2,0,1,3,0,0,2,10,0.22,0.289,0.341,0.63,68,14,2,2,0,0,0
17,UT,Preston Tucker*,27,17,42,37,4,7,1,0,2,5,0,0,4,9,0.189,0.286,0.378,0.664,76,14,0,1,0,0,0
18,IF,Cliff Pennington#,34,16,34,29,1,4,0,0,0,0,0,0,5,13,0.138,0.265,0.138,0.403,13,4,1,0,0,0,0
19,UT,Philip Gosselin,29,20,28,24,5,3,0,0,1,2,0,0,4,8,0.125,0.25,0.25,0.5,35,6,1,0,0,0,1
20,C,Tony Cruz,31,9,26,26,2,4,1,0,1,2,0,0,0,11,0.154,0.154,0.308,0.462,19,8,4,0,0,0,0
21,CF,Gabriel Guerrero,24,14,18,18,1,3,0,0,1,1,0,0,0,8,0.167,0.167,0.333,0.5,29,6,0,0,0,0,0
22,IF,Blake Trahan,24,11,14,14,2,3,0,0,0,0,0,0,0,4,0.214,0.214,0.214,0.429,15,3,0,0,0,0,0
23,UT,Rosell Herrera#,25,11,13,13,0,2,0,0,0,0,0,1,0,5,0.154,0.154,0.154,0.308,-17,2,0,0,0,0,0
24,C,Tim Federowicz,30,5,7,6,1,2,1,0,1,2,0,0,1,3,0.333,0.429,1,1.429,266,6,0,0,0,0,0
25,RF,Aristides Aquino,24,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
26,P,Luis Castillo,25,30,65,59,4,6,1,0,0,2,0,0,2,23,0.102,0.131,0.119,0.25,-32,7,0,0,4,0,0
27,P,Matt Harvey,29,24,50,46,1,2,0,0,0,1,0,0,2,17,0.043,0.083,0.043,0.127,-65,2,1,0,2,0,0
28,P,Anthony DeSclafani,28,20,46,42,3,6,0,0,1,4,0,0,0,25,0.143,0.143,0.214,0.357,-6,9,0,0,4,0,0
29,P,Sal Romano*,24,35,40,36,1,2,1,0,0,2,0,0,0,24,0.056,0.056,0.083,0.139,-63,3,0,0,4,0,0
30,P,Homer Bailey,32,19,34,26,0,3,0,0,0,0,0,0,1,13,0.115,0.148,0.115,0.264,-28,3,0,0,7,0,0
31,P,Michael Lorenzen,26,54,34,31,5,9,1,0,4,10,0,0,2,9,0.29,0.333,0.71,1.043,169,22,4,0,1,0,0
32,P,Tyler Mahle,23,21,34,29,0,3,1,0,0,0,0,0,2,10,0.103,0.161,0.138,0.299,-19,4,0,0,3,0,0
