Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yan Gomes,30,112,435,403,52,107,26,0,16,48,0,0,21,119,0.266,0.313,0.449,0.762,103,181,4,8,0,3,2
2,1B,Yonder Alonso*,31,145,574,516,64,129,19,0,23,83,0,0,51,123,0.25,0.317,0.421,0.738,97,217,10,2,0,5,1
3,2B,Jason Kipnis*,31,147,601,530,65,122,28,1,18,75,7,1,60,112,0.23,0.315,0.389,0.704,89,206,5,7,1,3,1
4,SS,Francisco Lindor#,24,158,745,661,129,183,42,2,38,92,25,10,70,107,0.277,0.352,0.519,0.871,131,343,5,8,3,3,7
5,3B,Jose Ramirez#,25,157,698,578,110,156,38,4,39,105,34,6,106,80,0.27,0.387,0.552,0.939,150,319,2,8,0,6,15
6,LF,Michael Brantley*,31,143,631,570,89,176,36,2,17,76,12,3,48,60,0.309,0.364,0.468,0.832,123,267,15,5,1,6,0
7,CF,Greg Allen#,25,91,291,265,36,68,11,3,2,20,21,4,14,58,0.257,0.31,0.343,0.654,77,91,5,7,4,1,1
8,RF,Melky Cabrera#,33,78,278,250,28,70,17,0,6,39,1,1,20,38,0.28,0.335,0.42,0.755,102,105,10,3,0,5,0
9,DH,Edwin Encarnacion,35,137,579,500,74,123,16,1,32,107,3,0,63,132,0.246,0.336,0.474,0.81,115,237,14,8,0,7,2
10,RF,Brandon Guyer,32,103,221,194,25,40,11,0,7,27,1,1,15,48,0.206,0.3,0.371,0.671,80,72,5,11,1,0,0
11,OF,Rajai Davis,37,101,216,196,33,44,6,1,1,6,21,7,11,48,0.224,0.278,0.281,0.559,52,55,2,4,4,1,0
12,C,Roberto Perez,29,62,210,179,16,30,9,1,2,19,1,0,21,70,0.168,0.256,0.263,0.519,41,47,6,1,7,2,0
13,RF,Tyler Naquin*,27,61,183,174,22,46,7,0,3,23,1,1,6,42,0.264,0.295,0.356,0.651,75,62,1,2,0,1,1
14,IF,Erik Gonzalez,26,81,143,136,17,36,10,1,1,16,3,0,5,34,0.265,0.301,0.375,0.676,81,51,0,2,0,0,0
15,DH,Yandy Diaz,26,39,120,109,15,34,5,2,1,15,0,0,11,19,0.312,0.375,0.422,0.797,115,46,6,0,0,0,1
16,CF,Bradley Zimmer*,25,34,114,106,14,24,5,0,2,9,4,1,7,44,0.226,0.281,0.33,0.611,65,35,1,1,0,0,0
17,RF,Lonnie Chisenhall*,29,29,95,84,11,27,6,1,1,9,1,0,8,12,0.321,0.394,0.452,0.846,128,38,2,2,1,0,1
18,UT,Josh Donaldson,32,16,60,50,8,14,3,0,3,7,0,0,10,10,0.28,0.4,0.52,0.92,146,26,2,0,0,0,0
19,IF,Adam Rosales,35,13,21,19,4,4,1,0,1,2,0,0,1,5,0.211,0.25,0.421,0.671,77,8,0,0,1,0,0
20,OF,Brandon Barnes,32,19,21,19,2,5,0,0,1,2,0,0,2,5,0.263,0.333,0.421,0.754,102,8,1,0,0,0,0
21,UT,Eric Haase,25,9,17,16,0,2,0,0,0,1,0,0,0,6,0.125,0.176,0.125,0.301,-16,2,1,1,0,0,0
22,CF,Leonys Martin*,30,6,17,15,3,5,0,0,2,4,0,1,1,2,0.333,0.353,0.733,1.086,182,11,1,0,0,1,0
23,DH,Francisco Mejia#,22,1,4,2,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0.5,54,0,0,0,0,0,0
24,P,Corey Kluber,32,3,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
25,P,Shane Bieber,23,2,5,4,0,1,1,0,0,0,0,0,1,2,0.25,0.4,0.5,0.9,141,2,0,0,0,0,0
26,P,Carlos Carrasco,31,1,4,4,0,1,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,36,1,0,0,0,0,0
27,P,Mike Clevinger,27,2,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
28,P,Trevor Bauer,27,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
29,P,Adam Plutko,26,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,2,0,0
30,P,Neil Ramirez,29,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
31,P,Andrew Miller*,33,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
32,P,Matt Belisle,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Jon Edwards,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Ben Taylor,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Cody Allen,29,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Jeff Beliveau*,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Tyler Olson,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Josh Tomlin,33,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Nick Goody,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Zach McAllister,30,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Oliver Perez*,36,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
