Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Chris Iannetta,35,110,360,299,36,67,13,1,11,36,0,0,50,87,0.224,0.345,0.385,0.73,85,115,13,7,1,3,5
2,1B,Ian Desmond,32,160,619,555,82,131,21,8,22,88,20,6,53,146,0.236,0.307,0.422,0.729,83,234,17,6,1,4,0
3,2B,DJ LeMahieu,29,128,581,533,90,147,32,2,15,62,6,5,37,82,0.276,0.321,0.428,0.749,88,228,14,2,2,7,0
4,SS,Trevor Story,25,157,656,598,88,174,42,6,37,108,27,6,47,168,0.291,0.348,0.567,0.914,127,339,12,7,0,4,3
5,3B,Nolan Arenado,27,156,673,590,104,175,38,2,38,110,2,2,73,122,0.297,0.374,0.561,0.935,133,331,16,3,1,6,10
6,LF,Gerardo Parra*,31,142,443,401,52,114,17,0,6,53,11,4,32,75,0.284,0.342,0.372,0.714,82,149,6,5,2,3,3
7,CF,Charlie Blackmon*,31,156,696,626,119,182,31,7,29,70,12,4,59,134,0.291,0.358,0.502,0.86,115,314,10,8,1,2,2
8,RF,Carlos Gonzalez*,32,132,504,463,71,128,32,4,16,64,5,2,37,113,0.276,0.329,0.467,0.796,99,216,5,1,0,3,4
9,OF,David Dahl*,24,77,271,249,31,68,11,3,16,48,5,3,19,68,0.273,0.325,0.534,0.859,113,133,4,1,0,2,4
10,C,Tony Wolters*,26,74,216,182,19,31,4,4,3,27,2,0,26,33,0.17,0.292,0.286,0.577,48,52,6,6,0,2,2
11,1B,Ryan McMahon*,23,91,202,181,17,42,9,1,5,19,1,0,18,64,0.232,0.307,0.376,0.683,72,68,0,2,0,1,2
12,OF,Noel Cuevas,26,75,153,146,16,34,4,1,2,10,1,0,6,24,0.233,0.268,0.315,0.583,47,46,1,1,0,0,1
13,IF,Pat Valaika,25,68,133,122,8,19,5,0,2,5,0,0,9,30,0.156,0.214,0.246,0.46,16,30,4,0,2,0,0
14,C,Tom Murphy,27,37,96,93,5,21,7,1,2,11,0,1,3,44,0.226,0.25,0.387,0.637,58,36,2,0,0,0,1
15,UT,Matt Holliday,38,25,65,53,3,15,2,0,2,3,0,0,12,18,0.283,0.415,0.434,0.849,116,23,0,0,0,0,0
16,UT,Garrett Hampson,23,24,48,40,3,11,3,1,0,4,2,0,7,12,0.275,0.396,0.4,0.796,103,16,0,1,0,0,0
17,2B,Daniel Castro,25,18,47,46,2,8,1,0,1,6,0,0,1,7,0.174,0.191,0.261,0.452,13,12,2,0,0,0,1
18,OF,Mike Tauchman*,27,21,37,32,5,3,1,0,0,0,1,0,4,15,0.094,0.194,0.125,0.319,-16,4,0,0,1,0,0
19,UT,Raimel Tapia*,24,25,27,25,6,5,2,1,1,6,0,0,2,7,0.2,0.259,0.48,0.739,82,12,0,0,0,0,0
20,UT,Drew Butera,34,10,16,14,2,3,0,0,1,3,0,0,2,2,0.214,0.313,0.429,0.741,86,6,0,0,0,0,0
21,P,Kyle Freeland*,25,30,71,65,5,6,2,0,0,2,0,0,2,40,0.092,0.119,0.123,0.242,-38,8,0,0,4,0,0
22,P,German Marquez,23,31,65,60,4,18,0,0,1,5,0,0,0,11,0.3,0.3,0.35,0.65,65,21,1,0,5,0,0
23,P,Jon Gray,26,29,61,52,2,4,2,0,0,2,0,0,3,30,0.077,0.127,0.115,0.243,-38,6,0,0,6,0,0
24,P,Tyler Anderson*,28,32,60,50,7,5,0,0,0,1,0,0,3,32,0.1,0.167,0.1,0.267,-30,5,1,1,6,0,0
25,P,Chad Bettis,29,26,39,34,2,3,0,0,0,2,0,0,2,18,0.088,0.139,0.088,0.227,-40,3,0,0,3,0,0
26,P,Antonio Senzatela,23,22,29,24,1,2,1,0,0,3,0,0,0,13,0.083,0.083,0.125,0.208,-48,3,0,0,5,0,0
27,P,Chris Rusin*,31,45,5,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,156,2,0,0,1,0,0
28,P,Harrison Musgrave*,26,32,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
29,P,Jeff Hoffman,25,6,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
30,P,Yency Almonte#,24,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
31,P,Jerry Vasto*,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Sam Howard,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Jake McGee*,31,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Scott Oberg,28,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,DJ Johnson*,28,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Brooks Pounders,27,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Mike Dunn*,33,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Seunghwan Oh,35,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Bryan Shaw#,30,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Wade Davis,32,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Adam Ottavino#,32,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
