Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Max Stassi,27,88,250,221,28,50,13,0,8,27,0,0,23,74,0.226,0.316,0.394,0.71,97,87,6,6,0,0,0
2,1B,Yuli Gurriel,34,136,573,537,70,156,33,1,13,85,5,1,23,63,0.291,0.323,0.428,0.751,108,230,22,6,0,7,0
3,2B,Jose Altuve,28,137,599,534,84,169,29,2,13,61,17,4,55,79,0.316,0.386,0.451,0.837,133,241,17,6,3,1,4
4,SS,Carlos Correa,23,110,468,402,60,96,20,1,15,65,3,0,53,111,0.239,0.323,0.405,0.728,102,163,17,2,0,11,3
5,3B,Alex Bregman,24,157,705,594,105,170,51,1,31,103,10,4,96,85,0.286,0.394,0.532,0.926,156,316,15,12,0,3,2
6,LF,Marwin Gonzalez#,29,145,552,489,61,121,25,3,16,68,2,3,53,126,0.247,0.324,0.409,0.733,103,200,14,3,5,2,3
7,CF,Jake Marisnick,27,103,235,213,34,45,8,1,10,28,6,2,15,84,0.211,0.275,0.399,0.674,85,85,6,4,1,1,1
8,RF,Josh Reddick*,31,134,487,433,63,105,13,2,17,47,7,2,49,77,0.242,0.318,0.4,0.718,99,173,9,0,1,2,3
9,DH,Evan Gattis,31,128,451,407,49,92,17,0,25,78,1,0,33,101,0.226,0.284,0.452,0.736,101,184,13,3,0,8,2
10,OF,George Springer,28,140,620,544,102,144,26,0,22,71,6,4,64,122,0.265,0.346,0.434,0.78,116,236,12,5,0,3,0
11,OF,Tony Kemp*,26,97,295,255,37,67,15,0,6,30,9,3,32,44,0.263,0.351,0.392,0.743,108,100,7,3,3,1,1
12,UT,Tyler White,27,66,237,210,27,58,12,3,12,42,0,1,24,49,0.276,0.354,0.533,0.888,143,112,1,2,0,1,0
13,C,Brian McCann*,34,63,216,189,22,40,3,0,7,23,0,1,19,40,0.212,0.301,0.339,0.64,79,64,7,6,0,2,0
14,C,Martin Maldonado,31,41,114,108,15,25,4,1,4,12,0,0,3,25,0.231,0.257,0.398,0.655,79,43,5,1,1,1,0
15,CI,J.D. Davis,25,42,113,103,9,18,2,0,1,5,0,0,10,29,0.175,0.248,0.223,0.471,34,23,3,0,0,0,0
16,LF,Derek Fisher*,24,42,86,79,13,13,2,2,4,11,2,0,5,42,0.165,0.209,0.392,0.602,63,31,0,0,0,2,0
17,LF,Kyle Tucker*,21,28,72,64,10,9,2,1,0,4,1,1,6,13,0.141,0.236,0.203,0.439,25,13,1,2,0,0,0
18,C,Tim Federowicz,30,10,35,34,4,7,3,0,0,2,0,0,1,13,0.206,0.229,0.294,0.523,45,10,1,0,0,0,0
19,OF,Myles Straw,23,9,10,9,4,3,0,0,1,1,2,0,1,0,0.333,0.4,0.667,1.067,191,6,0,0,0,0,0
20,1B,AJ Reed*,25,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
21,P,Gerrit Cole,27,3,9,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,-100,0,0,0,0,0,0
22,P,Charlie Morton,34,3,6,6,0,1,0,0,0,0,0,0,0,5,0.167,0.167,0.167,0.333,-6,1,0,0,0,0,0
23,P,Justin Verlander,35,2,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,13,1,0,0,0,0,0
24,P,Dallas Keuchel*,30,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
25,P,Lance McCullers Jr.*,24,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
26,P,Brad Peacock,30,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
27,P,Reymin Guduan*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
28,P,Ken Giles,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
29,P,Collin McHugh,31,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Dean Deetz,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Cionel Perez*,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Ryan Pressly,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Josh James,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Chris Devenski,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Tony Sipp*,34,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Will Harris,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Joe Smith,34,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,James Hoyt,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Framber Valdez*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Roberto Osuna,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Hector Rondon,30,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
