Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Salvador Perez,28,129,544,510,52,120,23,0,27,80,1,1,17,108,0.235,0.274,0.439,0.713,92,224,19,12,0,5,0
2,1B,Lucas Duda*,32,87,345,310,34,75,12,1,13,48,1,0,24,95,0.242,0.31,0.413,0.723,97,128,4,8,0,3,2
3,2B,Whit Merrifield,29,158,707,632,88,192,43,3,12,60,45,10,61,114,0.304,0.367,0.438,0.806,121,277,12,6,2,6,2
4,SS,Alcides Escobar,31,140,531,485,54,112,22,3,4,34,8,2,29,74,0.231,0.279,0.313,0.593,63,152,14,5,8,4,1
5,3B,Mike Moustakas*,29,98,417,378,46,94,21,1,20,62,3,0,30,63,0.249,0.309,0.468,0.778,110,177,10,5,0,4,3
6,LF,Alex Gordon*,34,141,568,506,56,124,24,0,13,54,12,2,50,124,0.245,0.324,0.37,0.694,91,187,7,10,0,2,4
7,CF,Abraham Almonte#,29,50,151,134,15,24,1,2,3,9,2,2,15,36,0.179,0.26,0.284,0.544,50,38,6,0,1,1,0
8,RF,Jorge Bonifacio,25,69,270,236,31,53,16,2,4,23,0,1,29,71,0.225,0.312,0.36,0.672,85,85,3,2,1,2,1
9,DH,Ryan O'Hearn*,24,44,170,149,23,39,10,2,12,30,0,0,20,45,0.262,0.353,0.597,0.95,155,89,0,1,0,0,0
10,CI,Hunter Dozier,26,102,388,362,36,83,19,4,11,34,2,3,24,109,0.229,0.278,0.395,0.673,83,143,12,1,0,1,0
11,SS,Adalberto Mondesi#,22,75,291,275,47,76,13,3,14,37,32,7,11,77,0.276,0.306,0.498,0.804,116,137,2,1,3,1,0
12,UT,Rosell Herrera#,25,75,289,265,25,63,14,3,1,20,3,4,19,52,0.238,0.292,0.325,0.616,70,86,6,2,1,2,0
13,OF,Jon Jay*,33,59,266,238,28,73,9,2,1,18,3,2,19,39,0.307,0.363,0.374,0.737,104,89,4,3,4,2,0
14,RF,Jorge Soler,26,61,257,223,27,59,18,0,9,28,3,1,28,69,0.265,0.354,0.466,0.82,124,104,6,4,0,2,0
15,C,Drew Butera,34,51,166,149,11,28,9,0,2,18,0,0,13,37,0.188,0.259,0.289,0.548,51,43,4,2,0,2,0
16,CF,Brett Phillips*,24,36,123,112,13,21,4,2,2,7,1,1,9,50,0.188,0.252,0.313,0.565,55,35,1,1,0,1,0
17,2B,Ryan Goins*,30,41,120,115,10,26,8,1,0,6,0,0,4,29,0.226,0.252,0.313,0.565,55,36,2,0,1,0,0
18,UT,Cheslor Cuthbert,25,30,117,103,11,20,2,0,3,7,0,1,11,23,0.194,0.282,0.301,0.583,61,31,5,2,0,1,0
19,CF,Brian Goodwin*,27,27,101,94,11,25,5,0,3,13,1,1,6,31,0.266,0.317,0.415,0.732,100,39,0,1,0,0,0
20,CF,Paulo Orlando,32,25,93,90,6,15,3,0,0,5,0,0,3,25,0.167,0.194,0.2,0.394,9,18,3,0,0,0,0
21,C,Cam Gallagher,25,22,69,63,5,13,3,0,1,7,0,0,3,15,0.206,0.25,0.302,0.552,51,19,1,1,1,1,0
22,IF,Ramon Torres#,25,9,29,28,4,5,1,0,0,1,0,0,1,3,0.179,0.207,0.214,0.421,17,6,1,0,0,0,0
23,C,Meibrys Viloria*,21,10,29,27,4,7,2,0,0,4,0,0,1,9,0.259,0.286,0.333,0.619,70,9,1,0,1,0,0
24,P,Heath Fillmyer,24,2,5,4,0,1,1,0,0,1,0,0,0,3,0.25,0.25,0.5,0.75,99,2,0,0,1,0,0
25,P,Jason Hammel,35,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
26,P,Brad Keller,22,3,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,85,1,0,0,0,0,0
27,P,Eric Skoglund*,25,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
28,P,Jakob Junis,25,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
29,P,Danny Duffy*,29,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
30,P,Ian Kennedy,33,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,178,1,0,0,0,0,0
31,P,Tim Hill,28,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
32,P,Brian Flynn*,28,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
33,P,Eric Stout*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Glenn Sparkman#,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Trevor Oaks,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Brandon Maurer,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Jerry Vasto*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Jake Newberry,23,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Justin Grimm,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Ben Lively,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Wily Peralta,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Scott Barlow,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Jason Adam,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Jorge Lopez,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Burch Smith,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Blaine Boyer,36,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Kelvin Herrera,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Enny Romero,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Kevin McCarthy,26,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
