Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Martin Maldonado,31,78,290,265,24,59,14,0,5,32,0,1,13,73,0.223,0.284,0.332,0.616,71,88,3,10,1,1,0
2,1B,Albert Pujols,38,117,498,465,50,114,20,0,19,64,1,0,28,65,0.245,0.289,0.411,0.7,92,191,12,2,0,3,3
3,2B,Ian Kinsler,36,91,391,355,49,85,20,0,13,32,9,4,30,40,0.239,0.304,0.406,0.71,95,144,10,4,0,2,0
4,SS,Andrelton Simmons,28,146,600,554,68,162,26,5,11,75,10,2,35,44,0.292,0.337,0.417,0.754,109,231,17,5,1,5,2
5,3B,Luis Valbuena*,32,96,288,266,23,53,9,0,9,33,3,0,19,100,0.199,0.253,0.335,0.588,62,89,2,1,0,2,3
6,LF,Justin Upton,30,145,613,533,80,137,18,1,30,85,8,2,64,176,0.257,0.344,0.463,0.808,122,247,12,10,0,6,1
7,CF,Mike Trout,26,140,608,471,101,147,24,4,39,79,24,2,122,124,0.312,0.46,0.628,1.088,199,296,5,10,0,4,25
8,RF,Kole Calhoun*,30,137,552,491,71,102,18,2,19,57,6,2,53,133,0.208,0.283,0.369,0.652,80,181,9,1,0,6,2
9,DH,Shohei Ohtani*,23,104,367,326,59,93,21,2,22,61,10,4,37,102,0.285,0.361,0.564,0.925,152,184,2,2,0,1,2
10,IF,David Fletcher,24,80,307,284,35,78,18,2,1,25,3,0,15,34,0.275,0.316,0.363,0.678,89,103,7,3,3,2,0
11,3B,Zack Cozart,32,58,253,224,29,49,13,2,5,18,0,0,19,42,0.219,0.296,0.362,0.658,82,81,7,7,0,3,0
12,1B,Jefry Marte,27,90,209,194,28,42,7,1,7,22,1,1,13,41,0.216,0.273,0.371,0.644,77,72,6,2,0,0,0
13,3B,Taylor Ward,24,40,147,135,14,24,3,0,6,15,2,0,9,45,0.178,0.245,0.333,0.578,59,45,0,3,0,0,0
14,C,Jose Briceno,25,46,128,117,12,28,2,0,5,10,0,1,8,35,0.239,0.299,0.385,0.684,89,45,2,2,1,0,0
15,OF,Chris Young,34,56,128,113,17,19,2,1,6,13,2,0,11,37,0.168,0.252,0.363,0.615,68,41,1,2,1,1,0
16,IF,Kaleb Cowart#,26,47,124,112,7,15,7,1,1,10,1,0,10,44,0.134,0.21,0.241,0.451,25,27,2,1,0,1,0
17,1B,Jose Fernandez*,30,36,123,116,9,31,8,0,2,11,1,0,6,15,0.267,0.309,0.388,0.697,92,45,2,1,0,0,0
18,CF,Eric Young Jr.#,33,41,117,109,12,22,4,2,1,8,5,1,6,28,0.202,0.248,0.303,0.551,52,33,4,1,0,1,0
