Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yasmani Grandal#,29,140,518,440,65,106,23,2,24,68,2,1,72,124,0.241,0.349,0.466,0.815,120,205,12,3,0,3,1
2,1B,Cody Bellinger*,22,162,632,557,84,145,28,7,25,76,14,1,69,151,0.26,0.343,0.47,0.814,120,262,7,3,0,3,9
3,2B,Logan Forsythe,31,70,211,193,18,40,10,0,2,13,2,0,17,43,0.207,0.27,0.29,0.56,54,56,5,0,0,1,1
4,SS,Chris Taylor,27,155,604,536,85,136,35,8,17,63,9,6,55,178,0.254,0.331,0.444,0.775,110,238,5,9,0,4,0
5,3B,Justin Turner,33,103,426,365,62,114,31,1,14,52,2,1,47,54,0.312,0.406,0.518,0.924,151,189,10,12,0,2,3
6,LF,Joc Pederson*,26,148,443,395,65,98,27,3,25,56,1,5,40,85,0.248,0.321,0.522,0.843,125,206,6,4,1,3,3
7,CF,Enrique Hernandez,26,145,462,402,67,103,17,3,21,52,3,0,50,78,0.256,0.336,0.47,0.806,117,189,3,1,4,5,5
8,RF,Yasiel Puig,27,125,444,405,60,108,21,1,23,63,15,5,36,87,0.267,0.327,0.494,0.82,120,200,15,1,0,2,2
9,OF,Matt Kemp,33,146,506,462,62,134,25,0,21,85,0,0,36,115,0.29,0.338,0.481,0.818,120,222,14,1,0,7,2
10,CI,Max Muncy*,27,137,481,395,75,104,17,2,35,79,3,0,79,131,0.263,0.391,0.582,0.973,161,230,4,5,0,2,6
11,IF,Manny Machado,25,66,296,267,36,73,14,2,13,42,6,1,25,53,0.273,0.338,0.487,0.825,122,130,12,2,0,2,6
12,C,Austin Barnes,28,100,238,200,32,41,5,0,4,14,4,3,31,67,0.205,0.329,0.29,0.619,72,58,7,6,1,0,4
13,2B,Chase Utley*,39,87,187,164,18,35,10,1,1,14,3,1,17,34,0.213,0.305,0.305,0.61,68,50,3,5,0,1,2
14,2B,Brian Dozier,31,47,170,143,16,26,9,0,5,20,4,0,24,33,0.182,0.3,0.35,0.65,77,50,5,1,0,2,0
15,SS,Corey Seager*,24,26,115,101,13,27,5,1,2,13,0,0,11,17,0.267,0.348,0.396,0.744,103,40,2,2,0,1,1
16,OF,Alex Verdugo*,22,37,86,77,11,20,6,0,1,4,0,0,8,14,0.26,0.329,0.377,0.706,93,29,4,0,1,0,0
17,3B,Kyle Farmer,27,39,77,68,1,16,4,1,0,9,0,0,5,15,0.235,0.312,0.324,0.635,74,22,1,3,0,1,1
18,CI,David Freese,35,19,47,39,9,15,2,1,2,9,0,0,6,16,0.385,0.489,0.641,1.13,206,25,0,2,0,0,0
19,UT,Breyvic Valera#,26,20,34,29,4,5,0,0,0,4,0,0,4,4,0.172,0.273,0.172,0.445,26,5,0,0,1,0,0
20,OF,Andrew Toles*,26,17,32,30,5,7,2,0,0,4,1,0,2,8,0.233,0.281,0.3,0.581,59,9,1,0,0,0,1
21,OF,Tim Locastro,25,18,14,11,6,2,1,0,0,0,4,0,2,5,0.182,0.357,0.273,0.63,76,3,0,1,0,0,0
22,C,Rocky Gale,30,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
23,P,Clayton Kershaw*,30,25,57,46,1,11,2,0,0,7,0,0,7,11,0.239,0.34,0.283,0.622,73,13,0,0,4,0,0
24,P,Alex Wood,27,31,50,44,1,2,0,0,0,0,1,0,0,25,0.045,0.045,0.045,0.091,-75,2,0,0,6,0,0
25,P,Walker Buehler,23,22,47,43,1,7,0,0,0,1,0,0,2,21,0.163,0.2,0.163,0.363,1,7,0,0,2,0,0
26,P,Rich Hill*,38,23,45,43,2,4,0,0,0,2,0,0,0,15,0.093,0.093,0.093,0.186,-49,4,1,0,2,0,0
27,P,Kenta Maeda,30,39,40,32,0,3,0,0,0,0,0,0,0,9,0.094,0.094,0.094,0.188,-48,3,1,0,8,0,0
28,P,Ross Stripling,28,35,37,33,0,3,0,0,0,2,1,0,0,13,0.091,0.091,0.091,0.182,-50,3,0,0,4,0,0
29,P,Hyun-Jin Ryu,31,16,30,26,4,7,1,0,0,2,0,0,2,13,0.269,0.321,0.308,0.629,74,8,0,0,2,0,0
30,P,Scott Alexander*,28,67,6,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,1,0,0
31,P,Caleb Ferguson,21,28,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,10,1,1,0,0,0,0
32,P,Pedro Baez,30,53,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
33,P,Dennis Santana,22,2,2,2,0,1,1,0,0,2,0,0,0,1,0.5,0.5,1,1.5,296,2,0,0,0,0,0
34,P,Brock Stewart*,26,9,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
35,P,Wilmer Font,28,6,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,2,0,0
