Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,J.T. Realmuto,27,125,531,477,74,132,30,3,21,74,3,2,38,104,0.277,0.34,0.484,0.825,131,231,9,10,0,4,0
2,1B,Justin Bour*,30,112,447,374,43,85,10,1,19,54,1,0,69,111,0.227,0.347,0.412,0.759,115,154,8,1,0,3,6
3,2B,Starlin Castro,28,154,647,593,76,165,32,2,12,54,6,4,48,124,0.278,0.329,0.4,0.729,107,237,18,0,0,6,3
4,SS,JT Riddle*,26,102,332,308,28,71,10,4,9,36,0,3,20,67,0.231,0.277,0.377,0.653,84,116,4,0,3,1,1
5,3B,Martin Prado,34,54,209,197,16,48,9,0,1,18,1,1,11,35,0.244,0.287,0.305,0.592,69,60,5,1,0,0,0
6,LF,Derek Dietrich*,28,149,551,499,72,132,26,2,16,45,2,0,29,140,0.265,0.33,0.421,0.751,112,210,5,21,0,2,2
7,CF,Lewis Brinson,24,109,406,382,31,76,10,5,11,42,2,1,17,120,0.199,0.24,0.338,0.577,62,129,6,4,0,2,2
8,RF,Brian Anderson,25,156,670,590,87,161,34,4,11,65,2,4,62,129,0.273,0.357,0.4,0.757,115,236,18,16,0,2,2
9,IF,Miguel Rojas,29,153,528,488,44,123,13,0,11,53,6,3,24,69,0.252,0.297,0.346,0.643,83,169,23,9,2,4,2
10,OF,Cameron Maybin,31,99,287,251,20,63,12,1,3,20,8,5,32,55,0.251,0.338,0.343,0.681,95,86,3,2,0,2,1
11,C,Bryan Holaday,30,61,166,151,7,31,5,0,1,16,0,0,10,29,0.205,0.261,0.258,0.519,49,39,4,2,1,2,2
12,IF,Yadiel Rivera,26,111,160,139,13,24,3,0,1,9,2,1,19,51,0.173,0.269,0.216,0.485,41,30,3,0,0,2,3
13,CF,Magneuris Sierra*,22,54,156,147,10,28,3,0,0,7,3,2,6,39,0.19,0.222,0.211,0.433,25,31,0,0,3,0,1
14,OF,Rafael Ortega*,27,41,143,133,10,31,3,1,0,7,5,2,10,23,0.233,0.287,0.271,0.557,60,36,5,0,0,0,0
15,OF,JB Shuck*,31,70,142,130,10,25,3,1,0,4,2,2,10,22,0.192,0.255,0.231,0.486,40,30,1,1,1,0,1
16,LF,Austin Dean,24,34,122,113,16,25,4,0,4,14,1,0,7,22,0.221,0.279,0.363,0.642,81,41,1,2,0,0,0
17,1B,Peter O'Brien,27,22,74,66,8,18,5,0,4,10,0,0,7,22,0.273,0.338,0.53,0.868,142,35,2,0,0,1,0
18,OF,Isaac Galloway,28,43,74,64,7,13,3,0,3,7,1,1,9,21,0.203,0.301,0.391,0.692,95,25,0,0,1,0,0
19,C,Chad Wallach,26,15,52,45,4,8,1,0,1,5,0,0,4,23,0.178,0.275,0.267,0.541,55,12,0,2,1,0,0
20,UT,Garrett Cooper,27,14,38,33,2,7,1,0,0,2,0,0,4,12,0.212,0.316,0.242,0.558,63,8,1,1,0,0,0
