Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Mitch Garver,27,102,335,302,38,81,19,2,7,45,0,0,29,72,0.268,0.335,0.414,0.749,103,125,8,2,1,1,2
2,1B,Joe Mauer*,35,127,543,486,64,137,27,1,6,48,0,1,51,86,0.282,0.351,0.379,0.729,99,184,9,2,1,3,5
3,2B,Brian Dozier,31,104,462,410,65,93,21,2,16,52,8,3,46,96,0.227,0.307,0.405,0.712,92,166,7,3,0,3,1
4,SS,Jorge Polanco#,24,77,333,302,38,87,18,3,6,42,7,7,25,62,0.288,0.345,0.427,0.773,109,129,5,2,3,1,0
5,3B,Eduardo Escobar#,29,97,408,368,45,101,37,3,15,63,1,3,34,91,0.274,0.338,0.514,0.852,127,189,7,3,0,3,6
6,LF,Eddie Rosario*,26,138,592,559,87,161,31,2,24,77,8,2,30,104,0.288,0.323,0.479,0.803,115,268,4,0,1,2,5
7,CF,Jake Cave*,25,91,309,283,54,76,17,2,13,45,2,1,18,102,0.269,0.316,0.481,0.797,113,136,2,3,2,3,2
8,RF,Max Kepler*,25,156,611,532,80,119,30,4,20,58,4,5,71,96,0.224,0.319,0.408,0.727,96,217,8,5,0,3,2
9,DH,Robbie Grossman#,28,129,465,396,50,108,27,1,5,48,0,1,60,83,0.273,0.367,0.384,0.751,106,152,2,2,2,5,0
10,IF,Ehire Adrianza#,28,114,366,335,42,84,23,1,6,39,5,1,24,82,0.251,0.301,0.379,0.68,84,127,4,1,4,2,2
11,UT,Logan Morrison*,30,95,359,318,41,59,13,0,15,39,1,0,34,80,0.186,0.276,0.368,0.644,73,117,3,6,0,1,0
12,3B,Miguel Sano,25,71,299,266,32,53,14,0,13,41,0,0,31,115,0.199,0.281,0.398,0.679,82,106,7,0,0,2,0
13,2B,Logan Forsythe,31,50,205,178,19,46,6,0,0,14,1,0,24,40,0.258,0.356,0.292,0.648,80,52,5,3,0,0,0
14,C,Bobby Wilson,35,47,151,135,12,24,8,0,2,16,0,0,12,37,0.178,0.242,0.281,0.523,42,38,6,0,2,2,0
15,UT,Tyler Austin,26,35,136,123,18,29,4,0,9,24,0,1,11,42,0.236,0.294,0.488,0.782,108,60,1,0,0,2,0
16,CF,Ryan LaMarre,29,43,109,99,7,26,5,0,0,8,1,1,8,33,0.263,0.321,0.313,0.634,74,31,3,1,0,1,0
17,UT,Willians Astudillo,26,29,97,93,9,33,4,1,3,21,0,0,2,3,0.355,0.371,0.516,0.887,138,48,4,1,0,1,0
18,CF,Byron Buxton,24,28,94,90,8,14,4,0,0,4,5,0,3,28,0.156,0.183,0.2,0.383,4,18,1,0,1,0,0
19,C,Jason Castro*,31,19,74,63,4,9,3,0,1,3,0,0,9,26,0.143,0.257,0.238,0.495,37,15,2,1,0,1,0
20,UT,Gregorio Petit,33,26,67,61,7,15,2,0,0,3,3,1,6,14,0.246,0.313,0.279,0.592,64,17,0,0,0,0,0
21,UT,Johnny Field,26,21,54,52,8,13,4,0,3,7,0,0,0,14,0.25,0.259,0.5,0.759,100,26,0,1,0,1,0
22,UT,Chris Gimenez,35,13,34,29,6,8,1,0,2,6,0,0,3,9,0.276,0.353,0.517,0.87,133,15,1,1,0,1,0
23,UT,Taylor Motter,28,9,21,19,0,1,0,0,0,1,1,0,2,3,0.053,0.143,0.053,0.195,-43,1,0,0,0,0,0
24,C,Juan Graterol,29,3,8,7,2,1,0,0,0,0,0,0,1,0,0.143,0.25,0.143,0.393,12,1,0,0,0,0,0
25,P,Jake Odorizzi,28,4,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,2,0,0
26,P,Jose Berrios,24,2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
27,P,Fernando Romero,23,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
28,P,Kyle Gibson,30,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,2,449,2,0,0,0,0,0
29,P,Lance Lynn#,31,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
30,P,Matt Magill,28,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
31,P,Zach Duke*,35,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
32,P,Adalberto Mejia,25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
33,P,Ervin Santana,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,David Hale,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Addison Reed*,29,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Matt Belisle,38,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Tyler Kinley,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Alan Busenitz,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Zack Littell,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Tyler Duffey,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Kohl Stewart,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Phil Hughes,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Fernando Rodney,41,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,John Curtiss,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Trevor May,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Ryan Pressly,29,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Andrew Vasquez*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Trevor Hildenberger,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Aaron Slegers,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Stephen Gonsalves*,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Gabriel Moya*,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Oliver Drake,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Taylor Rogers*,27,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Chase De Jong*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
