Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Kevin Plawecki,27,79,277,238,33,50,13,2,7,30,0,1,28,65,0.21,0.315,0.37,0.685,94,88,12,9,1,1,2
2,1B,Wilmer Flores,26,126,429,386,43,103,25,0,11,51,0,0,29,42,0.267,0.319,0.417,0.736,107,161,8,5,0,9,1
3,2B,Asdrubal Cabrera#,32,98,407,375,48,104,23,1,18,58,0,0,29,81,0.277,0.329,0.488,0.817,128,183,12,1,0,2,1
4,SS,Amed Rosario,22,154,592,554,76,142,26,8,9,51,24,11,29,119,0.256,0.295,0.381,0.676,90,211,9,3,3,3,4
5,3B,Todd Frazier,32,115,472,408,54,87,18,0,18,59,9,4,48,112,0.213,0.303,0.39,0.693,95,159,10,8,0,8,1
6,LF,Michael Conforto*,25,153,638,543,78,132,25,1,28,82,3,4,84,159,0.243,0.35,0.448,0.797,124,243,10,7,0,4,8
7,CF,Austin Jackson,31,57,210,198,17,49,9,1,3,19,1,2,12,74,0.247,0.29,0.348,0.639,80,69,4,0,0,0,0
8,RF,Jay Bruce*,31,94,361,319,31,71,18,1,9,37,2,3,41,75,0.223,0.31,0.37,0.68,92,118,3,0,0,1,4
9,OF,Brandon Nimmo*,25,140,535,433,77,114,28,8,17,47,9,6,80,140,0.263,0.404,0.483,0.886,150,209,8,22,0,0,2
10,RF,Jose Bautista,37,83,302,245,37,50,13,0,9,37,2,2,51,84,0.204,0.351,0.367,0.718,104,90,2,5,0,1,2
11,IF,Jose Reyes#,35,110,251,228,30,43,12,3,4,16,5,2,22,39,0.189,0.26,0.32,0.58,63,73,5,0,1,0,1
12,2B,Jeff McNeil*,26,63,248,225,35,74,11,6,3,19,7,1,14,24,0.329,0.381,0.471,0.852,140,106,2,5,4,0,1
13,C,Devin Mesoraco,30,66,229,203,23,45,8,0,10,30,0,0,23,42,0.222,0.306,0.409,0.715,100,83,7,2,0,1,3
14,1B,Adrian Gonzalez*,36,54,187,169,15,40,5,0,6,26,0,0,15,34,0.237,0.299,0.373,0.672,89,63,5,1,0,2,3
15,LF,Yoenis Cespedes,32,38,157,141,20,37,6,0,9,29,3,0,13,50,0.262,0.325,0.496,0.821,128,70,1,1,0,2,2
16,1B,Dominic Smith*,23,56,149,143,14,32,11,1,5,11,0,0,4,47,0.224,0.255,0.42,0.675,87,60,2,2,0,0,0
17,C,Tomas Nido,24,34,90,84,10,14,3,0,1,9,0,0,4,27,0.167,0.2,0.238,0.438,24,20,4,0,0,2,0
18,IF,Luis Guillorme*,23,35,74,67,4,14,2,0,0,5,1,0,7,3,0.209,0.284,0.239,0.523,51,16,1,0,0,0,0
19,CF,Juan Lagares,29,30,64,59,9,20,1,1,0,6,3,1,3,9,0.339,0.375,0.39,0.765,118,23,2,1,0,1,1
20,C,Jose Lobaton#,33,22,57,49,3,7,2,1,0,4,0,0,7,15,0.143,0.246,0.224,0.47,35,11,2,0,0,1,0
21,UT,Jack Reinheimer,25,21,35,30,4,5,0,0,0,0,1,1,5,9,0.167,0.286,0.167,0.452,33,5,1,0,0,0,0
22,UT,Phillip Evans,25,15,23,21,1,3,0,0,0,1,1,0,2,8,0.143,0.217,0.143,0.36,5,3,1,0,0,0,0
23,CF,Matt den Dekker*,30,8,21,18,0,0,0,0,0,1,0,0,2,9,0,0.095,0,0.095,-70,0,0,0,0,1,0
24,C,Travis d'Arnaud,29,4,16,15,1,3,0,0,1,3,0,0,1,5,0.2,0.25,0.4,0.65,80,6,0,0,0,0,0
25,UT,Ty Kelly#,29,9,12,11,1,1,0,0,0,0,0,0,1,2,0.091,0.167,0.091,0.258,-24,1,1,0,0,0,0
26,RF,Kevin Kaczmarski*,26,4,5,4,0,0,0,0,0,0,0,1,1,1,0,0.2,0,0.2,-36,0,0,0,0,0,0
27,3B,David Wright,35,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,6,0,0,0,0,0,0
28,P,Jacob deGrom*,30,30,74,67,1,11,1,0,0,5,0,0,4,25,0.164,0.211,0.179,0.39,12,12,1,0,3,0,0
29,P,Zack Wheeler*,28,27,60,56,4,11,2,0,0,4,0,0,0,21,0.196,0.193,0.232,0.425,20,13,1,0,3,1,0
30,P,Steven Matz,27,29,53,46,2,5,1,0,2,4,0,0,3,13,0.109,0.163,0.261,0.424,18,12,1,0,4,0,0
31,P,Noah Syndergaard*,25,23,52,47,0,6,2,0,0,3,0,0,1,32,0.128,0.143,0.17,0.313,-12,8,0,0,3,1,0
32,P,Jason Vargas*,35,20,31,27,2,4,0,0,0,0,0,0,1,8,0.148,0.179,0.148,0.327,-6,4,0,0,3,0,0
33,P,Corey Oswalt,24,15,19,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,-100,0,0,0,1,0,0
34,P,Seth Lugo,28,50,13,11,1,1,0,0,0,0,0,0,1,8,0.091,0.167,0.091,0.258,-24,1,0,0,1,0,0
35,P,Matt Harvey,29,8,7,7,0,2,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,63,2,1,0,0,0,0
36,P,Paul Sewald,28,44,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0
37,P,Robert Gsellman,24,64,4,3,1,0,0,0,0,0,0,0,0,2,0,0.25,0,0.25,-20,0,0,1,0,0,0
38,P,P.J. Conlon*,24,3,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,90,1,0,0,0,0,0
39,P,Tim Peterson,27,19,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
