Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jonathan Lucroy,32,126,454,415,41,100,21,1,4,51,0,0,29,65,0.241,0.291,0.325,0.617,71,135,12,3,1,6,1
2,1B,Matt Olson*,24,162,660,580,85,143,33,0,29,84,2,1,70,163,0.247,0.335,0.453,0.788,116,263,13,8,0,2,3
3,2B,Jed Lowrie#,34,157,680,596,78,159,37,1,23,99,0,0,78,128,0.267,0.353,0.448,0.801,120,267,8,3,0,3,1
4,SS,Marcus Semien,27,159,703,632,89,161,35,2,15,70,14,6,61,131,0.255,0.318,0.388,0.706,94,245,12,1,2,7,1
5,3B,Matt Chapman,25,145,616,547,100,152,42,6,24,68,1,2,58,146,0.278,0.356,0.508,0.864,136,278,18,9,0,2,0
6,LF,Chad Pinder,26,110,333,298,43,77,12,1,13,27,0,2,27,88,0.258,0.332,0.436,0.769,111,130,4,6,2,0,1
7,CF,Mark Canha,29,122,411,365,60,91,22,0,17,52,1,2,34,88,0.249,0.328,0.449,0.778,113,164,11,10,0,2,3
8,RF,Stephen Piscotty,27,151,605,546,78,146,41,0,27,88,2,0,42,114,0.267,0.331,0.491,0.821,123,268,21,12,0,5,0
9,DH,Khris Davis,30,151,654,576,98,142,28,1,48,123,0,0,59,175,0.247,0.326,0.549,0.874,136,316,16,12,0,7,5
10,LF,Matthew Joyce*,33,83,246,207,34,43,9,0,7,15,0,2,35,53,0.208,0.322,0.353,0.675,87,73,3,1,1,2,2
11,CF,Dustin Fowler*,23,69,203,192,19,43,3,2,6,23,6,4,8,47,0.224,0.256,0.354,0.61,67,68,2,1,0,2,0
12,LF,Nick Martini*,28,55,179,152,26,45,9,3,1,19,0,0,21,36,0.296,0.397,0.414,0.811,126,63,0,5,0,1,1
13,CF,Ramon Laureano,23,48,176,156,27,45,12,1,5,19,7,1,16,50,0.288,0.358,0.474,0.832,128,74,0,2,0,2,0
14,C,Josh Phegley,30,39,102,93,13,19,7,0,2,15,0,0,6,27,0.204,0.255,0.344,0.599,64,32,3,1,0,2,0
15,2B,Franklin Barreto,22,32,75,73,10,17,4,0,5,16,0,0,1,29,0.233,0.253,0.493,0.746,100,36,3,1,0,0,0
16,C,Bruce Maxwell*,27,18,58,55,5,10,4,0,1,6,0,0,2,13,0.182,0.207,0.309,0.516,40,17,3,0,0,1,0
17,CF,Jake Smolinski,29,19,41,39,2,5,1,1,0,2,1,0,1,10,0.128,0.171,0.205,0.376,4,8,4,1,0,0,0
18,CF,Boog Powell*,25,7,25,24,3,4,1,1,0,0,1,1,1,6,0.167,0.2,0.292,0.492,34,7,1,0,0,0,0
19,CF,Trayce Thompson,27,3,7,7,1,1,0,0,0,0,0,0,0,4,0.143,0.143,0.143,0.286,-20,1,0,0,0,0,0
20,UT,Beau Taylor*,28,7,6,5,0,1,1,0,0,0,0,0,1,2,0.2,0.333,0.4,0.733,102,2,0,0,0,0,0
21,P,Sean Manaea,26,3,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,12,1,0,0,0,0,0
22,P,Frankie Montas,25,2,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0
23,P,Brett Anderson*,30,2,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,40,1,1,0,0,0,0
24,P,Daniel Mengden,25,1,3,3,1,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,86,1,0,0,0,0,0
25,P,Paul Blackburn,24,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0
26,P,Edwin Jackson,34,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
27,P,J.B. Wendelken,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
28,P,Cory Gearrin,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
29,P,Kendall Graveman,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Mike Fiers,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Jeurys Familia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Josh Lucas,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Danny Coulombe*,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Fernando Rodney,41,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Yusmeiro Petit,33,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Jeremy Bleich*,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Santiago Casilla,37,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Ryan Buchter*,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Shawn Kelley,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Emilio Pagan*,27,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Daniel Gossett,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Blake Treinen,30,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Dean Kiekhefer*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Ryan Dull,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Wilmer Font,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Andrew Triggs,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Liam Hendriks,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Chris Hatcher#,33,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Chris Bassitt,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Carlos Ramirez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Trevor Cahill,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Lou Trivino,26,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Aaron Brooks,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
