Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Francisco Cervelli,32,104,404,332,39,86,15,3,12,57,2,3,51,84,0.259,0.378,0.431,0.809,123,143,7,15,2,4,1
2,1B,Josh Bell#,25,148,583,501,74,131,31,4,12,62,2,5,77,104,0.261,0.357,0.411,0.768,111,206,12,0,0,5,2
3,2B,Josh Harrison,30,97,374,344,41,86,13,1,8,37,3,0,18,68,0.25,0.293,0.363,0.656,80,125,8,5,2,5,1
4,SS,Jordy Mercer,31,117,436,394,43,99,29,2,6,39,2,0,32,87,0.251,0.315,0.381,0.696,91,150,12,6,1,3,9
5,3B,Colin Moran*,25,144,465,415,49,115,19,1,11,58,0,2,39,82,0.277,0.34,0.407,0.747,105,169,6,4,0,7,4
6,LF,Corey Dickerson*,29,135,533,504,65,151,35,7,13,55,8,3,21,80,0.3,0.33,0.474,0.804,118,239,14,4,0,4,4
7,CF,Starling Marte,29,145,606,559,81,155,32,5,20,72,33,14,35,109,0.277,0.327,0.46,0.787,114,257,11,8,1,3,2
8,RF,Gregory Polanco*,26,130,535,461,75,117,32,6,23,81,12,2,61,117,0.254,0.34,0.499,0.839,128,230,11,3,0,7,5
9,2B,Adam Frazier*,26,113,352,318,52,88,23,2,10,35,1,3,29,53,0.277,0.342,0.456,0.798,118,145,3,3,1,1,2
10,C,Elias Diaz,27,82,277,252,33,72,12,0,10,34,0,1,21,40,0.286,0.339,0.452,0.792,116,114,4,1,0,3,1
11,3B,David Freese,35,94,265,241,29,68,10,1,9,42,0,0,18,56,0.282,0.336,0.444,0.78,113,107,10,3,0,3,1
12,UT,Sean Rodriguez,33,66,173,150,21,25,5,1,5,19,1,0,22,60,0.167,0.277,0.313,0.591,63,47,1,1,0,0,1
13,OF,Austin Meadows*,23,49,165,154,16,45,8,2,5,13,4,1,8,35,0.292,0.327,0.468,0.795,116,72,1,1,0,2,2
14,UT,Jose Osuna,25,51,111,106,14,24,9,0,3,11,0,0,3,22,0.226,0.252,0.396,0.648,75,42,2,1,0,1,0
15,OF,Jordan Luplow,24,37,103,92,16,17,1,3,3,7,2,2,10,18,0.185,0.272,0.359,0.631,72,33,7,1,0,0,0
16,SS,Kevin Newman,24,31,97,91,7,19,2,0,0,6,0,1,4,23,0.209,0.247,0.231,0.478,33,21,2,1,0,1,1
17,MI,Max Moroff#,25,26,67,59,7,11,1,0,3,9,0,0,7,24,0.186,0.284,0.356,0.64,75,21,0,1,0,0,1
18,UT,Pablo Reyes,24,18,63,58,9,17,2,0,3,7,0,1,5,11,0.293,0.349,0.483,0.832,126,28,2,0,0,0,0
19,SS,Adeiny Hechavarria,29,15,47,43,2,10,4,0,1,3,0,0,3,11,0.233,0.277,0.395,0.672,83,17,3,0,0,1,1
20,C,Jacob Stallings,28,14,41,37,2,8,0,0,0,5,0,0,3,9,0.216,0.268,0.216,0.485,36,8,2,0,0,1,0
21,IF,Kevin Kramer*,24,21,40,37,5,5,0,0,0,4,0,0,2,20,0.135,0.175,0.135,0.31,-13,5,0,0,0,1,0
22,,Ryan Lavarnway,30,6,6,6,1,4,1,0,0,1,0,0,0,1,0.667,0.667,0.833,1.5,311,5,0,0,0,0,0
23,3B,Jung Ho Kang,31,3,6,6,0,2,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,85,2,0,0,0,0,0
24,LF,Christopher Bostick,25,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
25,P,Jameson Taillon,26,30,63,57,0,4,1,0,0,3,0,0,1,22,0.07,0.086,0.088,0.174,-52,5,1,0,5,0,0
26,P,Ivan Nova,31,27,56,53,1,1,0,0,0,0,0,0,0,30,0.019,0.019,0.019,0.038,-90,1,1,0,3,0,0
27,P,Trevor Williams,26,28,51,43,3,5,0,0,0,0,0,0,2,13,0.116,0.156,0.116,0.272,-23,5,0,0,6,0,0
28,P,Joe Musgrove,25,19,35,31,2,5,1,0,0,0,0,0,0,12,0.161,0.161,0.194,0.355,-3,6,0,0,4,0,0
29,P,Chad Kuhl,25,17,27,21,2,3,0,0,0,1,0,0,0,5,0.143,0.143,0.143,0.286,-21,3,0,0,6,0,0
30,P,Nick Kingham,26,18,25,23,1,2,1,0,0,4,0,0,1,10,0.087,0.16,0.13,0.29,-18,3,0,1,0,0,0
31,P,Steven Brault*,26,43,21,20,0,3,1,0,0,0,0,0,1,5,0.15,0.19,0.2,0.39,8,4,0,0,0,0,0
32,P,Chris Archer,29,9,17,17,0,2,1,0,0,0,0,0,0,6,0.118,0.118,0.176,0.294,-20,3,1,0,0,0,0
33,P,Clay Holmes,25,11,6,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
34,P,Tyler Glasnow*,24,32,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
35,P,Richard Rodriguez,28,61,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
36,P,Casey Sadler,27,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
37,P,Michael Feliz,25,44,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
38,P,Alex McRae,25,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
39,P,Felipe Vazquez*,26,64,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
40,P,Enny Romero,27,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,3,698,2,0,0,0,0,0
41,P,Tanner Anderson,25,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
42,P,Kyle Crick*,25,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
