Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Mike Zunino,27,113,405,373,37,75,18,0,20,44,0,0,24,150,0.201,0.259,0.41,0.669,85,153,7,6,0,2,0
2,1B,Ryon Healy,26,133,524,493,51,116,15,0,24,73,0,0,27,113,0.235,0.277,0.412,0.688,91,203,21,2,0,2,0
3,2B,Dee Gordon*,30,141,588,556,62,149,17,8,4,36,30,12,9,80,0.268,0.288,0.349,0.637,79,194,10,9,9,5,0
4,SS,Jean Segura,28,144,632,586,91,178,29,3,10,63,20,11,32,69,0.304,0.341,0.415,0.755,112,243,17,4,4,6,2
5,3B,Kyle Seager*,30,155,630,583,62,129,36,1,22,78,2,2,38,138,0.221,0.273,0.4,0.673,86,233,10,5,0,4,3
6,LF,Denard Span*,34,94,328,294,36,80,15,6,7,30,3,2,23,55,0.272,0.329,0.435,0.765,113,128,5,5,0,6,0
7,CF,Guillermo Heredia,27,125,337,292,29,69,14,1,5,19,2,4,32,52,0.236,0.318,0.342,0.661,87,100,4,4,7,2,0
8,RF,Mitch Haniger,27,157,683,596,90,170,38,4,26,93,8,2,70,148,0.285,0.366,0.493,0.859,139,294,8,10,0,7,4
9,DH,Nelson Cruz,37,144,591,519,70,133,18,1,37,97,1,0,55,122,0.256,0.342,0.509,0.85,135,264,15,14,0,3,5
10,2B,Robinson Cano*,35,80,348,310,44,94,22,0,10,50,0,0,32,47,0.303,0.374,0.471,0.845,136,146,9,4,0,2,2
11,OF,Ben Gamel*,26,101,293,257,37,70,14,4,1,19,7,3,31,61,0.272,0.358,0.37,0.728,106,95,4,4,0,1,1
12,UT,Andrew Romine#,32,72,131,119,15,25,2,1,0,2,1,0,7,39,0.21,0.26,0.244,0.504,44,29,2,1,4,0,0
13,C,David Freitas,29,36,106,93,9,20,6,0,1,5,0,0,8,25,0.215,0.277,0.312,0.589,66,29,2,0,1,0,0
14,UT,Dan Vogelbach*,25,37,102,87,9,18,2,0,4,13,0,0,13,26,0.207,0.324,0.368,0.691,95,32,4,2,0,0,0
15,OF,Cameron Maybin,31,30,97,91,12,22,2,1,1,8,2,0,6,20,0.242,0.289,0.319,0.607,71,29,4,0,0,0,0
16,C,Chris Herrmann*,30,36,87,76,6,18,4,2,2,7,0,0,10,24,0.237,0.322,0.421,0.743,107,32,0,0,0,1,0
17,UT,Gordon Beckham,31,22,50,44,3,8,1,0,0,1,1,0,4,11,0.182,0.25,0.205,0.455,31,9,1,0,2,0,0
18,UT,Ichiro Suzuki*,44,15,47,44,5,9,0,0,0,0,0,0,3,7,0.205,0.255,0.205,0.46,33,9,0,0,0,0,0
19,UT,Kristopher Negron,32,18,30,29,6,6,0,0,1,3,2,0,1,9,0.207,0.233,0.31,0.544,52,9,1,0,0,0,0
20,C,Mike Marjama,28,10,29,27,1,3,3,0,0,0,0,1,2,6,0.111,0.172,0.222,0.395,10,6,2,0,0,0,0
21,UT,Taylor Motter,28,7,17,15,2,4,0,0,1,1,0,0,2,5,0.267,0.353,0.467,0.82,129,7,0,0,0,0,0
22,UT,John Andreoli,28,3,6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,57,1,0,0,0,0,0
23,3B,Zach Vincej,27,1,4,4,0,2,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1,184,2,0,0,0,0,0
24,P,Wade LeBlanc*,33,3,4,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,89,1,0,0,1,0,0
25,P,Felix Hernandez,32,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,2,0,0,0,0
26,P,Mike Leake,30,2,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
27,P,Marco Gonzales*,26,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0
28,P,Erasmo Ramirez,28,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
29,P,Christian Bergman,30,1,2,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,184,1,0,0,0,0,0
30,P,Roenis Elias*,29,3,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,184,1,0,0,0,0,0
31,P,Nick Vincent,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Justin Grimm,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Chasen Bradford,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,James Pazos,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Dan Altavilla,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Ariel Miranda*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Ross Detwiler,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Casey Lawrence,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Alex Colome,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Zach Duke*,35,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,James Paxton*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Erik Goeddel,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Robert Whalen,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Mike Morin,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Shawn Armstrong,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Sam Tuivailala,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Edwin Diaz,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Matt Festa,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Ryan Cook,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Marc Rzepczynski*,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Adam Warren,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Nick Rumbelow,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Juan Nicasio,31,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
