Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Buster Posey,31,105,448,398,47,113,22,1,5,41,3,2,45,53,0.284,0.359,0.382,0.741,106,152,12,3,0,2,3
2,1B,Brandon Belt*,30,112,456,399,50,101,18,2,14,46,4,0,49,107,0.253,0.342,0.414,0.756,108,165,2,6,0,2,6
3,2B,Joe Panik*,27,102,392,358,38,91,14,1,4,24,4,2,26,30,0.254,0.307,0.332,0.639,77,119,10,3,1,4,3
4,SS,Brandon Crawford*,31,151,594,531,63,135,28,2,14,54,4,5,50,122,0.254,0.325,0.394,0.719,98,209,12,8,0,5,13
5,3B,Evan Longoria,32,125,512,480,51,117,25,4,16,54,3,1,22,101,0.244,0.281,0.413,0.694,89,198,11,5,0,5,3
6,LF,Hunter Pence,35,97,248,235,19,53,11,1,4,24,5,1,11,59,0.226,0.258,0.332,0.59,62,78,1,0,0,2,1
7,CF,Gorkys Hernandez,30,142,451,414,52,97,16,2,15,40,8,5,27,113,0.234,0.285,0.391,0.676,85,162,14,4,2,4,1
8,RF,Andrew McCutchen,31,130,568,482,65,123,28,2,15,55,13,6,73,123,0.255,0.357,0.415,0.772,113,200,11,7,0,6,1
9,2B,Alen Hanson#,25,110,310,294,36,74,17,5,8,39,7,3,9,71,0.252,0.274,0.425,0.699,90,125,4,1,3,3,0
10,C,Nick Hundley,34,96,305,282,34,68,13,2,10,31,2,1,22,85,0.241,0.298,0.408,0.706,93,115,8,1,0,0,2
11,CI,Pablo Sandoval#,31,92,252,230,22,57,10,1,9,40,0,0,19,52,0.248,0.31,0.417,0.727,99,96,9,2,0,1,2
12,UT,Austin Slater,25,74,225,199,21,50,6,1,1,23,7,0,20,69,0.251,0.333,0.307,0.64,79,61,5,5,0,1,2
13,OF,Gregor Blanco*,34,68,203,189,19,41,7,3,2,12,6,2,12,58,0.217,0.262,0.317,0.58,60,60,2,0,1,1,0
14,CF,Austin Jackson,31,59,165,149,12,36,8,0,0,13,2,1,14,59,0.242,0.309,0.295,0.604,69,44,4,1,0,1,2
15,2B,Kelby Tomlinson,28,63,152,140,9,29,4,2,0,10,0,2,9,35,0.207,0.265,0.264,0.529,48,37,3,2,1,0,0
16,CF,Steven Duggar*,24,41,152,141,20,36,11,1,2,17,5,1,10,44,0.255,0.303,0.39,0.693,90,55,0,0,0,1,1
17,LF,Mac Williamson,27,28,105,94,14,20,4,0,4,11,1,1,11,27,0.213,0.295,0.383,0.678,86,36,1,0,0,0,0
18,IF,Chase d'Arnaud,31,42,100,93,9,20,5,0,3,9,2,1,4,37,0.215,0.253,0.366,0.618,69,34,0,1,1,1,0
19,UT,Aramis Garcia,25,19,65,63,8,18,1,0,4,9,0,0,2,31,0.286,0.308,0.492,0.8,117,31,1,0,0,0,0
20,LF,Chris Shaw*,24,22,62,54,2,10,2,0,1,7,1,0,7,23,0.185,0.274,0.278,0.552,54,15,0,0,0,1,0
21,2B,Miguel Gomez#,25,9,15,15,3,4,0,0,0,1,0,0,0,5,0.267,0.267,0.267,0.533,49,4,0,0,0,0,0
22,MI,Abiatal Avelino,23,6,11,11,1,3,0,0,0,0,0,0,0,3,0.273,0.273,0.273,0.545,52,3,0,0,0,0,0
23,CI,Ryder Jones*,24,5,8,8,2,3,0,0,2,3,0,0,0,5,0.375,0.375,1.125,1.5,293,9,0,0,0,0,0
