Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yadier Molina,35,123,503,459,55,120,20,0,20,74,4,3,29,66,0.261,0.314,0.436,0.75,103,200,15,9,0,6,0
2,1B,Jose Martinez,29,152,590,534,64,163,30,0,17,83,0,3,49,104,0.305,0.364,0.457,0.821,124,244,15,2,2,3,0
3,2B,Kolten Wong*,27,127,407,353,41,88,18,2,9,38,6,5,31,60,0.249,0.332,0.388,0.72,97,137,6,14,6,3,3
4,SS,Paul DeJong,24,115,490,436,68,105,25,1,19,68,1,1,36,123,0.241,0.313,0.433,0.746,102,189,6,12,0,5,2
5,3B,Jedd Gyorko,29,125,402,351,49,92,19,1,11,47,2,0,44,77,0.262,0.346,0.416,0.762,108,146,12,3,0,4,0
6,LF,Marcell Ozuna,27,148,628,582,69,163,16,2,23,88,3,0,38,110,0.28,0.325,0.433,0.758,106,252,10,3,0,4,2
7,CF,Tommy Pham,30,98,396,351,67,87,11,0,14,41,10,6,42,97,0.248,0.331,0.399,0.73,99,140,12,2,0,1,1
8,RF,Dexter Fowler#,32,90,334,289,40,52,10,0,8,31,5,2,38,75,0.18,0.278,0.298,0.576,59,86,2,3,0,4,0
9,CI,Matt Carpenter*,32,156,677,564,111,145,42,0,36,81,4,1,102,158,0.257,0.374,0.523,0.897,143,295,0,6,0,4,17
10,OF,Harrison Bader,24,138,427,379,61,100,20,2,12,37,15,3,31,125,0.264,0.334,0.422,0.756,106,160,1,11,2,4,3
11,MI,Yairo Munoz,23,108,329,293,39,81,16,0,8,42,5,6,30,71,0.276,0.35,0.413,0.763,109,121,3,4,0,2,7
12,MI,Greg Garcia*,28,114,208,181,15,40,6,0,3,15,3,1,20,37,0.221,0.309,0.304,0.613,70,55,3,4,1,2,1
13,OF,Tyler O'Neill,23,61,142,130,29,33,5,0,9,23,2,0,7,57,0.254,0.303,0.5,0.803,115,65,0,3,0,2,0
14,C,Francisco Pena,28,58,142,133,10,27,3,0,2,8,1,0,6,43,0.203,0.239,0.271,0.51,40,36,5,1,0,2,3
15,1B,Matt Adams*,29,27,60,57,5,9,1,0,3,9,0,0,3,18,0.158,0.2,0.333,0.533,43,19,0,0,0,0,1
16,CI,Patrick Wisdom,26,32,58,50,11,13,1,0,4,10,2,1,6,19,0.26,0.362,0.52,0.882,138,26,1,2,0,0,0
17,C,Carson Kelly,23,19,42,35,1,4,0,0,0,3,0,0,3,7,0.114,0.205,0.114,0.319,-9,4,0,1,3,0,0
18,OF,Adolis Garcia,25,21,17,17,3,2,1,0,0,1,0,0,0,7,0.118,0.118,0.176,0.294,-21,3,0,0,0,0,0
19,1B,Luke Voit,27,8,13,11,2,2,0,0,1,3,0,0,2,4,0.182,0.308,0.455,0.762,106,5,0,0,0,0,0
20,C,Steven Baron,27,2,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,11,1,0,0,0,0,0
21,2B,Edmundo Sosa,22,3,3,2,1,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,3,0,0,0,0,0,0
22,P,Miles Mikolas,29,32,71,63,4,9,1,0,2,6,0,0,2,33,0.143,0.167,0.254,0.421,13,16,0,0,5,1,0
23,P,Jack Flaherty,22,28,52,46,2,7,0,0,0,0,0,0,2,20,0.152,0.188,0.152,0.34,-5,7,0,0,4,0,0
24,P,Luke Weaver,24,33,46,38,4,6,0,0,0,2,0,0,1,14,0.158,0.179,0.158,0.337,-6,6,1,0,7,0,0
25,P,Carlos Martinez,26,33,36,33,1,8,2,0,1,4,0,0,0,11,0.242,0.235,0.394,0.629,69,13,0,0,2,1,0
26,P,John Gant,25,27,34,31,2,2,0,0,2,3,0,0,0,14,0.065,0.065,0.258,0.323,-17,8,0,0,3,0,0
27,P,Michael Wacha,26,15,32,25,3,2,0,0,0,1,0,0,1,9,0.08,0.115,0.08,0.195,-45,2,0,0,6,0,0
28,P,Austin Gomber*,24,27,21,19,1,4,1,0,0,4,0,0,0,3,0.211,0.211,0.263,0.474,29,5,0,0,2,0,0
29,P,Adam Wainwright,36,8,12,11,0,1,0,0,0,1,0,0,0,6,0.091,0.091,0.091,0.182,-50,1,0,0,1,0,0
