Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Wilson Ramos,30,78,315,293,30,87,14,0,14,53,0,0,22,61,0.297,0.346,0.488,0.834,129,143,17,0,0,0,1
2,1B,Jake Bauers*,22,96,388,323,48,65,22,2,11,48,6,6,54,104,0.201,0.316,0.384,0.7,94,124,3,3,2,6,0
3,2B,Joey Wendle*,28,139,545,487,62,146,33,6,7,61,16,4,37,96,0.3,0.354,0.435,0.789,118,212,11,9,2,10,4
4,SS,Willy Adames,22,85,323,288,43,80,7,0,10,34,6,5,31,95,0.278,0.348,0.406,0.754,109,117,6,1,1,2,3
5,3B,Matt Duffy,27,132,560,503,59,148,22,1,4,44,12,6,47,93,0.294,0.361,0.366,0.727,104,184,12,7,1,2,1
6,LF,Tommy Pham,30,39,174,143,35,49,7,6,7,22,5,1,25,43,0.343,0.448,0.622,1.071,194,89,6,4,0,2,1
7,CF,Kevin Kiermaier*,28,88,367,332,44,72,12,9,7,29,10,5,25,91,0.217,0.282,0.37,0.653,80,123,4,6,2,2,2
8,RF,Carlos Gomez,32,118,408,360,42,75,15,2,9,32,12,3,25,103,0.208,0.298,0.336,0.634,76,121,6,21,2,0,0
9,DH,C.J. Cron,28,140,560,501,68,127,28,1,30,74,1,2,37,145,0.253,0.323,0.493,0.816,123,247,11,17,0,5,2
10,OF,Mallex Smith*,25,141,544,480,65,142,27,10,2,40,40,12,47,98,0.296,0.367,0.406,0.773,115,195,11,8,7,2,0
11,IF,Daniel Robertson,24,87,340,282,46,74,16,0,9,34,2,2,43,77,0.262,0.382,0.415,0.797,122,117,7,13,0,2,0
12,SS,Adeiny Hechavarria,29,61,237,217,29,56,7,0,3,26,1,0,12,37,0.258,0.289,0.332,0.621,73,72,4,0,2,6,1
13,C,Jesus Sucre,30,73,198,182,9,38,5,0,1,17,1,0,9,29,0.209,0.247,0.253,0.5,40,46,4,1,4,2,2
14,DH,Ji-Man Choi*,27,49,189,160,21,43,12,1,8,27,2,0,24,41,0.269,0.37,0.506,0.877,141,81,0,3,0,2,0
15,OF,Johnny Field,26,62,179,169,20,36,9,0,6,14,4,0,7,58,0.213,0.253,0.373,0.626,71,63,3,2,1,0,0
16,1B,Brad Miller*,28,48,174,156,16,40,10,1,5,21,0,0,16,51,0.256,0.322,0.429,0.751,107,67,2,0,0,2,0
17,LF,Denard Span*,34,43,173,143,27,34,7,1,4,28,6,2,28,24,0.238,0.364,0.385,0.749,109,55,5,1,0,1,0
18,2B,Brandon Lowe*,23,43,148,129,16,30,6,2,6,25,2,1,16,38,0.233,0.324,0.45,0.774,112,58,3,2,0,1,0
