Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Robinson Chirinos,34,113,426,360,48,80,15,1,18,65,2,0,45,140,0.222,0.338,0.419,0.757,97,151,7,19,0,2,0
2,1B,Ronald Guzman*,23,123,428,387,46,91,18,2,16,58,1,0,33,121,0.235,0.306,0.416,0.722,87,161,8,7,0,1,2
3,2B,Rougned Odor*,24,129,535,474,76,120,23,2,18,63,12,12,43,127,0.253,0.326,0.424,0.751,95,201,5,11,2,5,2
4,SS,Elvis Andrus,29,97,428,395,53,101,20,3,6,33,5,3,28,66,0.256,0.308,0.367,0.675,76,145,8,3,0,2,0
5,3B,Adrian Beltre,39,119,481,433,49,118,23,1,15,65,1,0,34,96,0.273,0.328,0.434,0.763,98,188,13,6,0,8,2
6,LF,Joey Gallo*,24,148,577,500,82,103,24,1,40,92,3,4,74,207,0.206,0.312,0.498,0.81,107,249,3,3,0,0,4
7,CF,Delino DeShields,25,106,393,334,52,72,14,1,2,22,20,4,43,83,0.216,0.31,0.281,0.591,57,94,1,3,12,1,0
8,RF,Nomar Mazara*,23,128,536,489,61,126,25,1,20,77,1,0,40,116,0.258,0.317,0.436,0.753,94,213,13,4,0,3,2
9,DH,Shin-Soo Choo*,35,146,665,560,83,148,30,1,21,62,6,1,92,156,0.264,0.377,0.434,0.81,112,243,11,10,1,2,2
10,IF,Jurickson Profar#,25,146,594,524,82,133,35,6,20,77,10,0,54,88,0.254,0.335,0.458,0.793,105,240,9,12,0,4,1
11,UT,Isiah Kiner-Falefa,23,111,396,356,43,93,18,2,4,34,7,5,28,62,0.261,0.325,0.357,0.682,79,127,14,6,5,1,1
12,LF,Ryan Rua,28,61,147,139,17,27,3,1,6,12,3,1,5,53,0.194,0.221,0.36,0.58,48,50,2,0,2,1,0
13,CF,Carlos Tocci,22,65,135,120,11,27,3,2,0,5,0,3,7,39,0.225,0.271,0.283,0.555,46,34,2,1,6,1,0
14,CF,Drew Robinson*,26,47,125,109,20,20,3,0,3,9,2,1,16,57,0.183,0.288,0.294,0.582,53,32,0,0,0,0,0
15,LF,Willie Calhoun*,23,35,108,99,8,22,5,0,2,11,0,0,6,24,0.222,0.269,0.333,0.602,57,33,2,1,0,2,0
16,C,Carlos Perez,27,20,53,49,1,7,2,0,1,3,1,0,1,15,0.143,0.176,0.245,0.421,9,12,3,1,2,0,0
17,UT,Renato Nunez,24,13,41,36,2,6,1,0,1,2,0,0,3,12,0.167,0.244,0.278,0.522,37,10,0,1,0,1,0
18,C,Juan Centeno*,28,10,38,37,3,6,1,0,1,3,0,0,1,7,0.162,0.184,0.27,0.454,17,10,2,0,0,0,0
19,IF,Hanser Alberto,25,13,30,27,0,5,2,0,0,0,0,1,2,4,0.185,0.241,0.259,0.501,32,7,0,0,1,0,0
20,C,Jose Trevino,25,3,8,8,0,2,0,0,0,3,0,0,0,1,0.25,0.25,0.25,0.5,32,2,1,0,0,0,0
21,P,Bartolo Colon,45,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
22,P,Mike Minor,30,1,3,3,0,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1,152,2,0,0,0,0,0
23,P,Martin Perez*,27,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
