Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Russell Martin,35,90,352,289,37,56,8,0,10,25,0,3,56,82,0.194,0.338,0.325,0.663,86,94,7,7,0,0,0
2,1B,Justin Smoak#,31,147,594,505,67,122,34,0,25,77,0,1,83,156,0.242,0.35,0.457,0.808,122,231,11,3,0,3,2
3,2B,Devon Travis,27,103,378,357,41,83,14,3,11,44,3,2,16,64,0.232,0.275,0.381,0.656,80,136,8,5,0,0,1
4,SS,Aledmys Diaz,27,130,452,422,55,111,26,0,18,55,3,4,23,62,0.263,0.303,0.453,0.756,106,191,9,3,0,4,2
5,3B,Yangervis Solarte#,30,122,506,468,50,106,20,0,17,54,1,3,31,72,0.226,0.277,0.378,0.655,80,177,21,3,1,3,1
6,LF,Teoscar Hernandez,25,134,523,476,67,114,29,7,22,57,5,5,41,163,0.239,0.302,0.468,0.771,110,223,14,3,0,3,0
7,CF,Kevin Pillar,29,142,542,512,65,129,40,2,15,59,14,3,18,98,0.252,0.282,0.426,0.708,93,218,8,6,0,6,0
8,RF,Randal Grichuk,26,124,462,424,60,104,32,1,25,61,3,2,27,122,0.245,0.301,0.502,0.803,118,213,5,8,0,3,0
9,DH,Kendrys Morales#,35,130,471,413,47,103,15,0,21,57,2,3,50,95,0.249,0.331,0.438,0.769,112,181,15,3,0,5,5
10,UT,Curtis Granderson*,37,104,349,302,48,74,21,1,11,35,2,1,42,96,0.245,0.342,0.43,0.772,113,130,3,3,1,1,1
11,MI,Lourdes Gurriel Jr.,24,65,263,249,30,70,8,0,11,35,1,2,9,59,0.281,0.309,0.446,0.755,107,111,2,2,1,2,1
12,C,Luke Maile,27,68,231,202,22,50,13,1,3,27,2,0,25,67,0.248,0.333,0.366,0.7,95,74,4,2,0,2,0
13,3B,Josh Donaldson,32,36,159,137,22,32,11,0,5,16,2,0,21,44,0.234,0.333,0.423,0.757,109,58,1,0,0,1,2
14,OF,Billy McKinney*,23,36,128,115,14,29,7,0,6,13,1,0,11,32,0.252,0.32,0.47,0.79,116,54,0,1,0,1,0
15,MI,Richard Urena#,22,40,108,99,10,29,4,0,1,6,2,1,7,32,0.293,0.34,0.364,0.703,96,36,3,0,2,0,0
16,C,Danny Jansen,23,31,95,81,12,20,6,0,3,8,0,0,9,17,0.247,0.347,0.432,0.779,115,35,1,4,0,1,0
17,UT,Steve Pearce,35,26,86,79,16,23,6,0,4,16,0,0,7,14,0.291,0.349,0.519,0.868,137,41,1,0,0,0,0
18,OF,Dwight Smith Jr.*,25,35,75,65,9,17,8,0,2,8,0,0,7,13,0.262,0.347,0.477,0.824,126,31,1,2,0,1,0
19,1B,Rowdy Tellez*,23,23,73,70,10,22,9,0,4,14,0,0,2,21,0.314,0.329,0.614,0.943,154,43,0,0,0,1,0
20,UT,Gio Urshela,26,19,46,43,7,10,1,0,1,3,0,0,2,10,0.233,0.283,0.326,0.608,69,14,1,1,0,0,0
21,C,Reese McGuire*,23,14,33,31,5,9,3,0,2,4,1,0,2,9,0.29,0.333,0.581,0.914,147,18,0,0,0,0,0
22,IF,Brandon Drury,25,8,29,26,3,4,2,0,0,3,0,0,2,8,0.154,0.241,0.231,0.472,33,6,1,1,0,0,0
23,UT,Jonathan Davis,26,20,27,25,3,5,1,0,0,0,3,0,1,6,0.2,0.259,0.24,0.499,41,6,2,1,0,0,0
24,UT,Anthony Alford,23,13,21,19,3,2,0,0,0,1,1,0,2,9,0.105,0.19,0.105,0.296,-14,2,0,0,0,0,0
25,UT,Gift Ngoepe,28,13,19,18,2,1,0,0,0,0,0,0,1,12,0.056,0.105,0.056,0.161,-53,1,0,0,0,0,0
26,2B,Jon Berti,28,4,15,15,2,4,1,1,0,2,1,0,0,4,0.267,0.267,0.467,0.733,98,7,0,0,0,0,0
27,LF,Dalton Pompey#,25,5,11,10,0,2,0,0,0,0,0,0,1,6,0.2,0.273,0.2,0.473,35,2,0,0,0,0,0
28,UT,Darnell Sweeney#,27,2,4,2,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0.5,59,0,0,0,0,0,0
29,P,J.A. Happ*,35,2,7,6,2,2,0,0,0,0,0,0,1,3,0.333,0.429,0.333,0.762,117,2,0,0,0,0,0
30,P,Jaime Garcia*,31,2,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
31,P,Sam Gaviglio,28,2,3,3,0,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1,168,2,0,0,0,0,0
32,P,Sean Reid-Foley,22,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
33,P,Marcus Stroman,27,1,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,87,1,0,0,0,0,0
34,P,Marco Estrada,34,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,P,Aaron Sanchez,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
36,P,Deck McGuire,29,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,461,1,0,0,0,0,0
37,P,Jake Petricka,30,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
38,P,Tim Mayza*,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,John Axford,35,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Joe Biagini,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Ken Giles,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Tyler Clippard,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Ryan Tepera,30,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Preston Guilmet,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Jose Fernandez*,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Mike Hauschild,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Luis Santos,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Aaron Loup*,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Rhiner Cruz,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Seunghwan Oh,35,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Danny Barnes*,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Brandon Cumpton,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Carlos Ramirez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Chris Rowley,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
55,P,Roberto Osuna,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
56,P,Mark Leiter,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
57,P,Ryan Borucki*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
58,P,Oliver Drake,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
59,P,Murphy Smith,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
60,P,Taylor Guerrieri,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
61,P,Thomas Pannone*,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
62,P,David Paulino,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
63,P,Justin Shafer,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
