Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Matt Wieters#,32,76,271,235,24,56,8,0,8,30,0,1,30,45,0.238,0.33,0.374,0.704,86,88,5,3,1,2,3
2,1B,Ryan Zimmerman,33,85,323,288,33,76,21,2,13,51,1,1,30,55,0.264,0.337,0.486,0.824,114,140,10,3,0,2,1
3,2B,Wilmer Difo#,26,148,456,408,55,94,14,7,7,42,10,3,39,82,0.23,0.298,0.35,0.649,71,143,8,2,3,4,5
4,SS,Trea Turner,25,162,740,664,103,180,27,6,19,73,43,9,69,132,0.271,0.344,0.416,0.76,100,276,7,5,2,0,3
5,3B,Anthony Rendon,28,136,597,529,88,163,44,2,24,92,2,1,55,82,0.308,0.374,0.535,0.909,137,283,5,5,0,8,5
6,LF,Juan Soto*,19,116,494,414,77,121,25,1,22,70,5,2,79,99,0.292,0.406,0.517,0.923,142,214,9,0,1,0,10
7,CF,Michael A. Taylor,27,134,385,353,46,80,22,3,6,28,24,6,29,116,0.227,0.287,0.357,0.644,69,126,9,1,2,0,2
8,RF,Bryce Harper*,25,159,695,550,103,137,34,0,34,100,13,3,130,169,0.249,0.393,0.496,0.889,133,273,7,6,0,9,16
9,RF,Adam Eaton*,29,95,370,319,55,96,18,1,5,33,9,1,38,64,0.301,0.394,0.411,0.805,114,131,2,11,2,0,0
10,1B,Matt Adams*,29,94,277,249,37,64,9,0,18,48,0,0,24,55,0.257,0.332,0.51,0.842,118,127,6,4,0,0,2
11,1B,Mark Reynolds,34,86,235,206,26,51,8,0,13,40,0,0,24,64,0.248,0.328,0.476,0.803,109,98,8,2,0,3,1
12,C,Pedro Severino,24,70,213,190,14,32,9,0,2,15,1,0,18,47,0.168,0.254,0.247,0.501,34,47,3,4,0,1,4
13,2B,Daniel Murphy*,33,56,205,190,17,57,9,0,6,29,1,0,13,17,0.3,0.341,0.442,0.784,105,84,4,0,0,2,2
